,gene,cluster,t_stat,p_val,log2fc,mean_cluster,mean_others,corrected_p_val
8,1277,1,10.252106686232061,1.2281086827605593e-21,1.6160752542125856,16.874220710062772,15.258145455850187,1.7798676561747233e-20
16,1281,1,10.307481234675853,7.450058547281296e-22,1.6588501413300243,16.17304156230889,14.514191420978864,1.106444338705143e-20
18,2335,1,11.812636937134771,2.836673316447922e-27,2.0097907315005124,15.648189101953792,13.63839837045328,7.464929780126111e-26
19,1278,1,10.263804515727402,1.0877041951713665e-21,1.5961349945164969,16.007866676876965,14.411731682360468,1.5917622368361462e-20
27,4620,1,28.53462705499586,1.0303654928462562e-82,8.702337686849978,10.883929701505496,2.1815920146555183,2.0607309856925123e-80
34,3848,1,2.598427995216363,0.00978594917910349,1.0643034072055961,10.745297389755795,9.680993982550198,0.01617066788064471
37,58,1,35.04292255697693,1.9920871541577208e-110,7.999403090071433,11.72788827549441,3.7284851854229766,1.0865929931769386e-107
39,3933,1,6.913480708525426,3.9638077729953596e-11,1.1026846149300005,1.9647520330888975,0.862067418158897,2.0972527899446348e-10
40,283120,1,8.941963475138175,1.0140591831983168e-17,1.7192317573294496,13.698469218422975,11.979237461093525,1.0073435594685266e-16
48,6678,1,10.933899098327982,7.493884532927866e-24,1.3029682806480078,15.220641281910648,13.91767300126264,1.4007260809210963e-22
53,7273,1,26.339591097988524,4.808519993716999e-69,5.041514382296021,11.863531010802518,6.822016628506497,7.212779990575498e-67
54,1158,1,30.119464306281614,3.2158126562670564e-94,6.886746300882795,10.814065496607528,3.927319195724733,8.770398153455608e-92
56,4625,1,31.960417552955143,4.38711723165191e-99,7.6592500947835065,10.242891286282594,2.5836411914990878,1.4623724105506364e-96
57,1674,1,37.53915794759951,1.9239593584034786e-138,7.985362182642045,13.102179932492144,5.116817749850099,3.847918716806957e-135
58,3918,1,6.763641943903989,5.389950568943185e-11,1.0101674368822184,14.934873180171309,13.92470574328909,2.809704901273598e-10
61,1469,1,5.445443927263478,1.0097020079383778e-07,1.6850320509954981,7.243325113238377,5.558293062242879,3.6211667947580793e-07
82,3371,1,8.543052120681974,3.011626487647541e-16,1.3017327773606109,14.557968488945658,13.256235711585047,2.6340756451727763e-15
87,7045,1,8.05403511229894,1.098892229168906e-14,1.1804083644978611,14.346264052164075,13.165855687666214,8.335465707981588e-14
88,4312,1,7.273863924967541,2.0126870148953582e-12,1.5519634915678502,13.449669934851793,11.897706443283942,1.2297476669421741e-11
89,1293,1,10.21561878082306,1.5152309585165427e-21,1.4794296855228453,14.193526575791967,12.714096890269122,2.1721296026693237e-20
92,4703,1,25.71052599497702,2.606865396588932e-77,5.281570968028567,11.38568279641168,6.104111828383114,4.600350699862821e-75
96,4151,1,24.419166349355145,2.7353974218682383e-73,5.360908538539525,10.35622848137827,4.995319942838745,4.55899570311373e-71
103,1292,1,10.292817563548786,5.171623923961762e-22,1.2270429594514543,14.338092176302428,13.111049216850974,7.855631276903943e-21
