,gene,cluster,t_stat,p_val,log2fc,mean_cluster,mean_others,corrected_p_val
8,1277,1,10.785488006935983,4.907862717503917e-21,1.8444623628130525,17.267603736589333,15.42314137377628,1.0858103357309552e-19
16,1281,1,11.64050494507134,1.5591507794515252e-23,1.999929333791636,16.662622747435595,14.662693413643959,4.585737586622132e-22
18,2335,1,10.947164051177943,7.673114502241786e-22,2.004439105894418,15.9046355938266,13.900196487932181,1.8945961733930334e-20
19,1278,1,11.406427679601792,6.633849324771932e-23,1.887531931314367,16.44934719618458,14.561815264870212,1.8582210993758913e-21
27,4620,1,20.663137366756256,1.1731144156272719e-46,8.388799239535167,11.760767935791684,3.371968696256516,1.9883295180123253e-44
29,4069,1,5.776918331362098,4.22350536684323e-08,1.191315587216458,12.233831512375888,11.04251592515943,1.758328628993851e-07
34,3848,1,5.285215768754906,3.84295725334494e-07,2.3062708447000926,11.882408365361874,9.576137520661781,1.371994735217758e-06
37,58,1,25.350073444308308,3.1406967506110876e-63,7.697492056963327,12.522880400269013,4.825388343305686,3.489663056234542e-60
40,283120,1,8.718163558968076,4.1764708802197104e-16,1.7070033223797818,13.911686793156907,12.204683470777125,5.105710122517984e-15
46,3858,1,3.879158544916126,0.00015965976772028755,1.0927443262803802,12.596080688480333,11.503336362199953,0.00037234087621335716
48,6678,1,11.305518997173596,2.1933695851901417e-22,1.4638419857986342,15.519094458393328,14.055252472594693,5.787254842190347e-21
53,7273,1,22.384393280334884,3.84511991208286e-48,5.280776909529897,12.710080378715679,7.429303469185782,7.539450808005608e-46
54,1158,1,23.544668531582673,2.4226607170167456e-57,6.772774416115503,11.615877552488092,4.843103136372589,8.652359703631235e-55
56,4625,1,24.326021584994333,2.0097885442721236e-59,7.481423742748597,11.093564412611656,3.6121406698630585,9.135402473964197e-57
57,1674,1,26.007419084313593,5.756775261724804e-74,7.3531993254090615,13.62969871573933,6.276499390330269,1.9189250872416015e-70
61,1469,1,5.32519822569484,3.547888719458085e-07,1.9238464618995677,7.654042260761426,5.730195798861859,1.2734704664242947e-06
82,3371,1,6.817909758193745,9.218996645364569e-11,1.077887208576989,14.546796565410009,13.46890935683302,5.563667257311147e-10
88,4312,1,7.677899232955807,1.0667167319229967e-12,1.8205431799315246,13.867065626194048,12.046522446262523,8.43921465128953e-12
89,1293,1,11.794226917804787,4.3343112528956204e-24,1.7985493883114074,14.642165637234633,12.843616248923226,1.37597182631607e-22
92,4703,1,23.558360811969596,8.779744515160465e-57,5.5166991054179535,12.26005156345715,6.743352458039197,3.0274981086760226e-54
96,4151,1,21.84398069706991,5.9902880705751956e-52,5.543972595026028,11.199010656566154,5.655038061540126,1.4610458708719988e-49
103,1292,1,10.802431651688485,2.007753305309809e-21,1.3822740851424449,14.622155920848963,13.239881835706518,4.701998373090887e-20
113,7169,1,15.546003025396974,1.0159685292145891e-33,2.2228479855081833,12.843543665721123,10.62069568021294,7.362090791410066e-32
118,4604,1,22.15184932191282,3.0746867834923767e-55,7.045844033182137,10.888661191174007,3.8428171579918704,9.608396198413677e-53
131,633,1,10.423410326860562,1.7851757747578357e-20,1.3389416237362468,13.92411562869074,12.585174004954494,3.6656586750674247e-19
132,1291,1,10.370356052799552,6.834712145200789e-20,1.3807221193536776,14.334835436140414,12.954113316786737,1.2895683292831677e-18
