,gene,cluster,t_stat,p_val,log2fc,mean_cluster,mean_others,corrected_p_val
8,1277,3,7.156271472523919,1.519562809017748e-11,1.2892569817602535,16.77468079400258,15.485423812242328,1.2000496023832166e-10
16,1281,3,7.037570201047291,3.18701468239901e-11,1.318586104948448,16.067181886930854,14.748595781982406,2.4144050624234925e-10
18,2335,3,10.73428724721225,9.594041856605843e-22,2.001857089863295,15.830635633590909,13.828778543727614,2.09134427391953e-20
19,1278,3,6.844242024200964,9.395783560776745e-11,1.2332206618497743,15.878717628305283,14.645496966455509,6.675512298953283e-10
27,4620,3,16.56843146027659,1.707420391084985e-39,6.9283501360520425,10.337072743870255,3.4087226078182127,1.5010289152395472e-37
37,58,3,20.12461984138041,1.3160163747094916e-52,6.5981621207258625,11.401529337441142,4.803367216715279,5.541121577724175e-50
40,283120,3,6.282931792156828,1.2792061319095488e-09,1.29630134362821,13.534748027443948,12.238446683815738,7.878097810066506e-09
48,6678,3,8.013171601340813,1.0263157137292325e-13,1.0974765843489322,15.184963050603885,14.087486466254953,1.0366825391204368e-12
53,7273,3,15.355711773976848,6.57679762346299e-34,4.098065427286495,11.611481765870874,7.513416338584379,3.628577999151995e-32
54,1158,3,18.350317683600295,4.0231535695533176e-46,5.717035565519919,10.561248017619072,4.8442124520991525,7.152273012539231e-44
56,4625,3,19.072915630672632,7.7459159627826e-49,6.308467529561185,9.923397208127367,3.614929678566182,1.93647899069565e-46
57,1674,3,21.926178425691376,3.013774933125766e-63,6.6373705758428505,12.815423952385329,6.178053376542478,4.0183665775010217e-60
61,1469,3,3.7121006163330463,0.00027252512161828556,1.3400707584590048,7.136311957091149,5.796241198632144,0.0007713137447925515
82,3371,3,5.908296975082993,1.3960062837377766e-08,1.0474160973045237,14.484654155042175,13.437238057737652,7.54597991209609e-08
87,7045,3,6.935101733347349,4.678268694599476e-11,1.1247579463204396,14.414235673188212,13.289477726867773,3.482427179525368e-10
89,1293,3,6.499011030058229,7.07973336493019e-10,1.132007496068269,14.065334264972732,12.933326768904463,4.520180919348884e-09
92,4703,3,14.658350918481963,7.268988004190653e-33,4.23792887013681,11.07915909942369,6.84123022928688,3.7276861559952066e-31
96,4151,3,14.498996523750897,6.081055946349145e-33,4.258893155021387,10.012289915823128,5.753396760801741,3.158990101999556e-31
103,1292,3,7.406817006664558,2.8974665616330854e-12,1.001136449701253,14.279603179975865,13.278466730274612,2.5005105170512062e-11
113,7169,3,13.642397067948034,7.624650858560962e-31,1.8847295823603698,12.503849356437582,10.619119774077213,3.3514948828839393e-29
118,4604,3,17.36166355031964,3.802597139717689e-44,5.892308204508964,9.74906740547251,3.8567592009635465,5.336978441709037e-42
132,1291,3,7.332328420757088,5.229034714319969e-12,1.0155183590785395,14.004583049205696,12.989064690127156,4.3575289285999746e-11
134,2273,3,13.881388473813644,6.702644410260331e-31,2.443431734083955,11.349330270815381,8.905898536731426,2.995595267155455e-29
144,1289,3,8.452682502420164,4.623495461519679e-15,1.3229778664014642,13.75728899469542,12.434311128293956,5.253972115363272e-14
145,487,3,9.514321301307945,5.680692161902283e-17,2.8885808784704743,7.3917483810241595,4.503167502553685,7.9450240026605355e-16
148,4322,3,5.084670122078782,8.092291909787191e-07,1.6176854270422325,10.432876095421308,8.815190668379076,3.4874354000355563e-06
182,5054,3,7.2810419935887065,5.974065755202888e-12,1.2077513495158438,13.242490359846295,12.034739010330451,4.95773091718082e-11
185,10631,3,8.515445641292384,3.5758328929853935e-15,1.7069435930681003,12.970091885272566,11.263148292204466,4.1398933638036394e-14
216,4319,3,4.436454551068122,1.5418417240756292e-05,1.32959350991122,10.807813139788005,9.478219629876785,5.4796684996024145e-05
217,5837,3,9.912594652396153,5.42501820868817e-18,2.97142336079564,6.506146395152817,3.534723034357177,8.476590951075266e-17
219,1290,3,7.56466918291243,1.3820304570391876e-12,1.1924511873256716,13.121496814699869,11.929045627374197,1.2492930685100001e-11
228,4619,3,19.929875756991,3.106699678114131e-52,6.904164636112293,9.887970873607765,2.9838062374954717,1.1835046392815736e-49
229,4632,3,22.278706675976306,3.058482194182534e-64,6.820215615576796,9.806447995187208,2.986232379610412,9.547191056046447e-61
230,10324,3,20.287882432504674,4.3888142829183845e-53,5.650557338159403,9.865543246615502,4.214985908456099,1.9505841257415043e-50
232,7138,3,9.894142276479466,1.9375947039430966e-19,1.9358988454972916,10.77403744576896,8.838138600271668,3.452284550455406e-18
234,4633,3,20.818079903299083,3.9624778196451836e-56,6.446511239200513,9.602730230756265,3.1562189915557526,2.4384478890124207e-53
237,202333,3,11.683342429826006,4.5631111994636354e-23,3.044022199241015,9.526772781650966,6.482750582409951,1.123227372175664e-21
240,4892,3,18.149285633297293,2.81139889647297e-44,6.4110373521916735,9.214816379726932,2.8037790275352585,4.0162841378185285e-42
245,88,3,19.833661209470176,3.614496619302769e-51,6.109166921350742,9.95813765725475,3.8489707359040097,1.0709619612748946e-48
249,8557,3,17.481538794566998,5.963647863223277e-42,5.3146466908432295,9.356161201845008,4.041514511001779,6.931000097362339e-40
254,2318,3,13.65724943470894,2.8142126734192843e-30,2.8513568308473864,11.338001125205242,8.486644294357856,1.1849316519660144e-28
258,7057,3,7.836629401107203,2.607458967723098e-13,1.2490498025391794,13.048115495482655,11.799065692943476,2.5284450596102766e-12
263,2027,3,14.4375350020235,3.8137320935573335e-32,3.134505093473855,8.670578695896026,5.536073602422171,1.8603571188084552e-30
279,7140,3,17.622373653197332,2.0683736469769254e-46,4.691734184375317,10.5400589839064,5.848324799531083,3.7606793581398645e-44
309,129446,3,17.274288225069593,6.440166092172115e-41,6.250552051116511,8.949522549094644,2.6989704979781326,6.633322934836962e-39
310,7135,3,17.453154658465092,1.6126341539286777e-41,3.878056998650199,10.836414299835027,6.9583573011848285,1.7672703056752634e-39
314,9659,3,9.374028465547752,5.795927306052054e-17,1.1705515310397576,11.294826237632657,10.1242747065929,8.092045104435677e-16
350,1114,3,14.240802421574392,2.3471461010425154e-32,4.412130921627975,8.817078456289408,4.404947534661433,1.1662837769155355e-30
352,1410,3,7.583105253196195,9.762402027517522e-13,1.4076139222821045,11.00516072937233,9.597546807090225,8.966614950647551e-12
362,7078,3,9.530890346764833,2.419263649046312e-18,1.3425580291683694,12.729885035429492,11.387327006261122,3.9178358689009104e-17
366,6261,3,5.988122396272678,1.3936165095163577e-08,1.1106989224449464,10.150486340607278,9.039787418162332,7.538155561954606e-08
372,4320,3,6.373394696336277,1.2457072322653535e-09,1.293029593658332,11.783258746396125,10.490229152737793,7.6895508164528e-09
380,7168,3,13.264833720977467,8.063541067868981e-31,1.3380831726780151,12.341120493593086,11.003037320915071,3.525045275571139e-29
393,70,3,22.96888473957345,4.653290153696458e-69,6.920933391374317,11.431217805435832,4.510284414061515,3.722632122957166e-65
396,126393,3,11.230175888184585,3.9071654208164746e-22,2.7329831706940384,8.78152161144518,6.048538440751142,8.956253113619426e-21
415,6423,3,8.503570807207943,3.4520249600488774e-15,1.6457422244305757,12.131713537036244,10.485971312605669,4.002347779766815e-14
419,7125,3,17.013135049929204,6.848620186089376e-41,4.5526128146275235,8.38973350914231,3.8371206945147867,6.848620186089376e-39
430,171024,3,11.507367821437626,1.447418380095288e-23,2.6240300329490855,10.602966761931853,7.9789367289827675,3.7595282599877615e-22
433,25878,3,8.712695769675113,6.987109343390875e-16,1.3467442185062382,12.321805547031282,10.975061328525044,8.70667830952134e-15
445,7136,3,15.5727707099223,3.733529244148429e-36,3.9618505559216004,9.098778803178641,5.136928247257041,2.5528405088194383e-34
448,4606,3,18.25478688662439,4.943062656253119e-46,5.428107648492687,9.378533473163891,3.9504258246712043,8.596630706527163e-44
455,7058,3,6.972213017187966,4.232062739919213e-11,1.211486302549174,12.22809362618578,11.016607323636606,3.1700844493776875e-10
468,84033,3,6.952272803560768,8.434996241399791e-11,1.0366325951866724,9.961533849753799,8.924901254567127,6.030381584557491e-10
475,7134,3,19.62956229706739,7.454513607198022e-52,5.3720997804301,9.277544341337379,3.9054445609072794,2.592874298155834e-49
477,6876,3,8.498692498925648,4.474983964797697e-15,1.188902481115214,12.10451353253784,10.915611051422626,5.114267388340225e-14
502,1917,3,9.34132991020445,1.1677495131371092e-17,2.4214983904375798,9.126590942456483,6.705092552018903,1.7461674962797893e-16
522,2200,3,6.391174734613208,1.2215773532998053e-09,1.1211629960163858,11.630937821382803,10.509774825366417,7.563946460060713e-09
551,1462,3,7.160236102759538,1.640264973299495e-11,1.3261549886037276,11.754001887130428,10.4278468985267,1.2852223101269305e-10
554,27295,3,12.608160131823986,1.9353824507099678e-27,2.5455053416803626,10.434370953228905,7.8888656115485425,6.761161399860149e-26
564,1464,3,6.418739467579149,7.822248048101792e-10,1.1199827180356579,11.82010038757624,10.700117669540582,4.954709769185617e-09
574,3678,3,9.640976744288833,6.640070241038172e-19,1.0570821664254382,12.684662797924453,11.627580631499015,1.1254356340742665e-17
602,58529,3,14.271616212024055,5.729223859310998e-31,4.012885527143441,7.3972279457866845,3.3843424186432434,2.5749320716004485e-29
608,5166,3,9.283404820332922,8.624061330012364e-17,1.9542670357803766,7.85583796870403,5.901570932923653,1.1793588143606652e-15
609,11155,3,14.008957380501528,6.102374398892421e-30,3.643388546919243,7.591680137382772,3.948291590463529,2.521611421820618e-28
614,29895,3,22.16179091550303,2.667048766857741e-63,5.687583247469355,8.799791139440241,3.1122078919708858,4.0183665775010217e-60
638,165904,3,16.312545809508833,9.237844305636985e-40,3.6544641607410036,8.552426038325217,4.897961877584214,8.263719682058648e-38
661,4837,3,10.919368185341341,2.1667976466971167e-22,1.5673379974282096,11.326214306450371,9.758876309022162,5.0390642946444575e-21
666,6236,3,9.35426390776095,7.492194343000212e-18,1.8396295738669295,10.539241690975913,8.699612117108984,1.157095651428604e-16
699,23213,3,6.9433759996418205,4.679511522487213e-11,1.1658835734799098,11.59561143882959,10.42972786534968,3.482427179525368e-10
720,10398,3,7.503595303798148,2.1239667163860356e-12,1.0001017858847305,11.439928251496706,10.439826465611976,1.8775396387942854e-11
723,27129,3,17.44784134642397,1.1696177401564213e-41,4.678286307862758,9.41557185272303,4.7372855448602715,1.2995752668404683e-39
751,11240,3,9.503629184641824,2.4154314908328928e-17,2.0483897761930487,8.864014565319842,6.815624789126793,3.494295104279049e-16
756,246329,3,14.06577624141569,3.0099980347531938e-30,3.0236240374038674,9.156769033010013,6.133144995606146,1.2607321611531701e-28
768,1116,3,4.556055156132594,9.807956422359894e-06,1.0269656759009624,10.035084999326235,9.008119323425273,3.582815131455669e-05
