,gene,cluster,t_stat,p_val,log2fc,mean_cluster,mean_others,corrected_p_val
8,1277,1,8.167733915359888,6.769343607127289e-13,1.7092115230221232,17.23386434551297,15.524652822490847,1.0444503154680485e-11
16,1281,1,8.065022052890534,1.124451969129559e-12,1.7279142597685073,16.519692685326987,14.79177842555848,1.681423505240462e-11
18,2335,1,8.97982276203665,1.068286398208555e-14,2.0851147139276858,16.061092267965954,13.975977554038268,2.1101953544860344e-13
19,1278,1,8.044733457009743,1.2177379492757846e-12,1.6545929869290426,16.33462993296133,14.680036946032288,1.8023873439789597e-11
27,4620,1,21.524450916244067,1.4208785969144608e-46,8.315705809793688,12.06713295700854,3.7514271472148524,6.889108348676174e-44
37,58,1,24.975579184873542,1.0329677900072218e-58,7.567201447394899,12.750368057328117,5.1831666099332185,1.3772903866762958e-55
40,283120,1,8.099648699800314,1.253751079281044e-13,1.68946160998175,13.971764328732137,12.282302718750387,2.1602579831933326e-12
48,6678,1,7.8252646795697025,4.555440286233206e-12,1.2823580033459354,15.429421466667126,14.14706346332119,6.089143239743633e-11
53,7273,1,21.45852591438671,1.6000497460430358e-42,5.196013186040135,12.870065427670786,7.674052241630651,5.953673473648506e-40
54,1158,1,23.445450432509745,3.29774934772353e-53,6.723917281058083,11.871839138825692,5.147921857767609,2.6381994781788237e-50
55,1472,1,5.0236477498827465,2.21526067899262e-06,1.3144267942066201,3.393787885210277,2.079361091003657,1.1097110477107679e-05
56,4625,1,22.067724154851078,8.173034896090524e-49,7.166067026174579,11.154571833363175,3.9885048071885962,4.509260632325806e-46
57,1674,1,26.349332095157532,2.4591157802535064e-72,7.282599345926728,13.892703493940942,6.610104148014214,1.9672926242028053e-68
61,1469,1,5.590539496297373,1.755402289015557e-07,2.2122789283441033,7.983200784515355,5.770921856171252,1.097126430634723e-06
82,3371,1,4.757867315332955,6.208359104849171e-06,1.0316999130303746,14.55494809830698,13.523248185276605,2.827604488402697e-05
89,1293,1,7.4681584647158346,2.680531425343836e-11,1.5060988897855605,14.473057103640555,12.966958213854994,3.151249287692974e-10
92,4703,1,23.138317475395738,6.3700755792126765e-52,5.434145346219674,12.432271189524867,6.998125843305193,4.632782239427401e-49
96,4151,1,19.85515581113209,1.186432261097059e-42,5.290025439739561,11.227034321424087,5.937008881684526,4.519741947036415e-40
103,1292,1,8.485203766985537,8.859746169098839e-14,1.2987317802228802,14.611985362530238,13.313253582307357,1.5629100188046463e-12
113,7169,1,14.949831502948836,3.163224959894539e-29,2.231919012318343,12.948848739724115,10.716929727405772,3.641122255993714e-27
118,4604,1,23.444644623859684,3.215727799039733e-57,7.02958501268442,11.184266949693923,4.154681937009503,3.430109652309048e-54
131,633,1,8.289807608429495,1.914011173006643e-13,1.2477506893945058,13.905553889423192,12.657803200028686,3.2235977650638197e-12
