patient_id	sample_id	cluster
TCGA-4P-AA8J	TCGA-4P-AA8J-01A-11R-A39I-07	3
TCGA-BA-4074	TCGA-BA-4074-01A-01R-1436-07	3
TCGA-BA-4075	TCGA-BA-4075-01A-01R-1436-07	3
TCGA-BA-4076	TCGA-BA-4076-01A-01R-1436-07	3
TCGA-BA-4077	TCGA-BA-4077-01B-01R-1436-07	1
TCGA-BA-4078	TCGA-BA-4078-01A-01R-1436-07	1
TCGA-BA-5149	TCGA-BA-5149-01A-01R-1514-07	3
TCGA-BA-5151	TCGA-BA-5151-01A-01R-1436-07	3
TCGA-BA-5152	TCGA-BA-5152-01A-02R-1873-07	3
TCGA-BA-5153	TCGA-BA-5153-01A-01R-1436-07	1
TCGA-BA-5555	TCGA-BA-5555-01A-01R-1514-07	1
TCGA-BA-5556	TCGA-BA-5556-01A-01R-1514-07	3
TCGA-BA-5557	TCGA-BA-5557-01A-01R-1514-07	3
TCGA-BA-5558	TCGA-BA-5558-01A-01R-1514-07	3
TCGA-BA-5559	TCGA-BA-5559-01A-01R-1514-07	1
TCGA-BA-6868	TCGA-BA-6868-01B-12R-1915-07	3
TCGA-BA-6869	TCGA-BA-6869-01A-11R-1873-07	1
TCGA-BA-6870	TCGA-BA-6870-01A-11R-1873-07	3
TCGA-BA-6871	TCGA-BA-6871-01A-11R-1873-07	1
TCGA-BA-6872	TCGA-BA-6872-01A-11R-1873-07	3
TCGA-BA-6873	TCGA-BA-6873-01A-11R-1873-07	3
TCGA-BA-7269	TCGA-BA-7269-01A-11R-2016-07	2
TCGA-BA-A4IF	TCGA-BA-A4IF-01A-11R-A266-07	1
TCGA-BA-A4IG	TCGA-BA-A4IG-01A-11R-A266-07	1
TCGA-BA-A4IH	TCGA-BA-A4IH-01A-11R-A266-07	1
TCGA-BA-A4II	TCGA-BA-A4II-01A-11R-A266-07	3
TCGA-BA-A6D8	TCGA-BA-A6D8-01A-31R-A31N-07	2
TCGA-BA-A6DA	TCGA-BA-A6DA-01A-31R-A31N-07	2
TCGA-BA-A6DB	TCGA-BA-A6DB-01A-11R-A30B-07	3
TCGA-BA-A6DD	TCGA-BA-A6DD-01A-12R-A31N-07	3
TCGA-BA-A6DE	TCGA-BA-A6DE-01A-22R-A31N-07	1
TCGA-BA-A6DG	TCGA-BA-A6DG-01A-21R-A30B-07	3
TCGA-BA-A6DI	TCGA-BA-A6DI-01A-11R-A30B-07	3
TCGA-BA-A6DJ	TCGA-BA-A6DJ-01A-11R-A30B-07	3
TCGA-BA-A6DL	TCGA-BA-A6DL-01A-21R-A30B-07	1
TCGA-BA-A8YP	TCGA-BA-A8YP-01A-11R-A39I-07	1
TCGA-BB-4217	TCGA-BB-4217-01A-11R-2081-07	1
TCGA-BB-4223	TCGA-BB-4223-01A-01R-1436-07	1
TCGA-BB-4224	TCGA-BB-4224-01A-01R-1436-07	3
TCGA-BB-4225	TCGA-BB-4225-01A-01R-1436-07	1
TCGA-BB-4227	TCGA-BB-4227-01A-01R-1873-07	3
TCGA-BB-4228	TCGA-BB-4228-01A-01R-1436-07	1
TCGA-BB-7870	TCGA-BB-7870-01A-11R-2232-07	1
TCGA-BB-8596	TCGA-BB-8596-01A-11R-2403-07	3
TCGA-BB-8601	TCGA-BB-8601-01A-11R-2403-07	1
TCGA-BB-A5HU	TCGA-BB-A5HU-01A-11R-A28V-07	3
TCGA-BB-A5HY	TCGA-BB-A5HY-01A-11R-A28V-07	3
TCGA-BB-A5HZ	TCGA-BB-A5HZ-01A-21R-A28V-07	1
TCGA-BB-A6UM	TCGA-BB-A6UM-01A-12R-A34R-07	1
TCGA-BB-A6UO	TCGA-BB-A6UO-01A-12R-A34R-07	3
TCGA-C9-A47Z	TCGA-C9-A47Z-01A-11R-A24H-07	3
TCGA-C9-A480	TCGA-C9-A480-01A-12R-A24H-07	3
TCGA-CN-4723	TCGA-CN-4723-01A-01R-1436-07	3
TCGA-CN-4725	TCGA-CN-4725-01A-01R-1436-07	3
TCGA-CN-4726	TCGA-CN-4726-01A-01R-1436-07	3
TCGA-CN-4727	TCGA-CN-4727-01A-01R-1436-07	1
TCGA-CN-4728	TCGA-CN-4728-01A-01R-1436-07	1
TCGA-CN-4729	TCGA-CN-4729-01A-01R-1436-07	3
TCGA-CN-4730	TCGA-CN-4730-01A-01R-1436-07	1
TCGA-CN-4731	TCGA-CN-4731-01A-01R-1436-07	3
TCGA-CN-4733	TCGA-CN-4733-01A-02R-1873-07	3
TCGA-CN-4734	TCGA-CN-4734-01A-01R-1436-07	3
TCGA-CN-4735	TCGA-CN-4735-01A-01R-1436-07	1
TCGA-CN-4736	TCGA-CN-4736-01A-01R-1436-07	3
TCGA-CN-4737	TCGA-CN-4737-01A-01R-1436-07	3
TCGA-CN-4738	TCGA-CN-4738-01A-02R-1514-07	3
TCGA-CN-4739	TCGA-CN-4739-01A-02R-1514-07	1
TCGA-CN-4740	TCGA-CN-4740-01A-01R-1436-07	3
TCGA-CN-4741	TCGA-CN-4741-01A-01R-1436-07	1
TCGA-CN-4742	TCGA-CN-4742-01A-02R-1514-07	3
TCGA-CN-5355	TCGA-CN-5355-01A-01R-1436-07	3
TCGA-CN-5356	TCGA-CN-5356-01A-01R-1436-07	3
TCGA-CN-5358	TCGA-CN-5358-01A-01R-1514-07	3
TCGA-CN-5359	TCGA-CN-5359-01A-01R-1436-07	1
TCGA-CN-5360	TCGA-CN-5360-01A-01R-1436-07	1
TCGA-CN-5361	TCGA-CN-5361-01A-01R-1436-07	3
TCGA-CN-5363	TCGA-CN-5363-01A-01R-1436-07	3
TCGA-CN-5364	TCGA-CN-5364-01A-01R-1436-07	3
TCGA-CN-5365	TCGA-CN-5365-01A-01R-1436-07	3
TCGA-CN-5366	TCGA-CN-5366-01A-01R-1436-07	3
TCGA-CN-5367	TCGA-CN-5367-01A-01R-1436-07	3
TCGA-CN-5369	TCGA-CN-5369-01A-01R-1436-07	3
TCGA-CN-5370	TCGA-CN-5370-01A-01R-2016-07	3
TCGA-CN-5373	TCGA-CN-5373-01A-01R-1436-07	1
TCGA-CN-5374	TCGA-CN-5374-01A-01R-1436-07	1
TCGA-CN-6010	TCGA-CN-6010-01A-11R-1686-07	1
TCGA-CN-6011	TCGA-CN-6011-01A-11R-1686-07	3
TCGA-CN-6012	TCGA-CN-6012-01A-11R-1686-07	1
TCGA-CN-6013	TCGA-CN-6013-01A-11R-1686-07	1
TCGA-CN-6016	TCGA-CN-6016-01A-11R-1686-07	3
TCGA-CN-6017	TCGA-CN-6017-01A-11R-1686-07	3
TCGA-CN-6018	TCGA-CN-6018-01A-11R-1686-07	3
TCGA-CN-6019	TCGA-CN-6019-01A-11R-1686-07	1
TCGA-CN-6020	TCGA-CN-6020-01A-11R-1686-07	3
TCGA-CN-6021	TCGA-CN-6021-01A-11R-1686-07	1
TCGA-CN-6022	TCGA-CN-6022-01A-21R-1686-07	3
TCGA-CN-6023	TCGA-CN-6023-01A-11R-1686-07	1
TCGA-CN-6024	TCGA-CN-6024-01A-11R-1686-07	1
TCGA-CN-6988	TCGA-CN-6988-01A-11R-1915-07	1
TCGA-CN-6989	TCGA-CN-6989-01A-11R-1915-07	1
TCGA-CN-6992	TCGA-CN-6992-01A-11R-1915-07	1
TCGA-CN-6994	TCGA-CN-6994-01A-11R-1915-07	3
TCGA-CN-6995	TCGA-CN-6995-01A-31R-2016-07	3
TCGA-CN-6996	TCGA-CN-6996-01A-11R-1915-07	3
TCGA-CN-6997	TCGA-CN-6997-01A-11R-2016-07	1
TCGA-CN-6998	TCGA-CN-6998-01A-23R-2016-07	3
TCGA-CN-A497	TCGA-CN-A497-01A-11R-A24H-07	1
TCGA-CN-A498	TCGA-CN-A498-01A-11R-A24H-07	3
TCGA-CN-A499	TCGA-CN-A499-01A-11R-A24H-07	3
TCGA-CN-A49A	TCGA-CN-A49A-01A-11R-A24H-07	3
TCGA-CN-A49B	TCGA-CN-A49B-01A-31R-A24H-07	3
TCGA-CN-A49C	TCGA-CN-A49C-01A-11R-A24H-07	1
TCGA-CN-A63T	TCGA-CN-A63T-01A-11R-A28V-07	1
TCGA-CN-A63U	TCGA-CN-A63U-01A-11R-A30B-07	1
TCGA-CN-A63V	TCGA-CN-A63V-01A-11R-A466-07	3
TCGA-CN-A63W	TCGA-CN-A63W-01A-11R-A30B-07	1
TCGA-CN-A641	TCGA-CN-A641-01A-11R-A30B-07	1
TCGA-CN-A642	TCGA-CN-A642-01A-12R-A30B-07	3
TCGA-CN-A6UY	TCGA-CN-A6UY-01A-12R-A34R-07	1
TCGA-CN-A6V1	TCGA-CN-A6V1-01A-12R-A34R-07	1
TCGA-CN-A6V3	TCGA-CN-A6V3-01A-12R-A34R-07	3
TCGA-CN-A6V6	TCGA-CN-A6V6-01A-12R-A34R-07	1
TCGA-CN-A6V7	TCGA-CN-A6V7-01A-12R-A34R-07	1
TCGA-CQ-5323	TCGA-CQ-5323-01A-01R-1686-07	1
TCGA-CQ-5324	TCGA-CQ-5324-01A-01R-1686-07	3
TCGA-CQ-5325	TCGA-CQ-5325-01A-01R-1686-07	3
TCGA-CQ-5326	TCGA-CQ-5326-01A-01R-1873-07	3
