"","gene_name","n_syn","n_mis","n_non","n_spl","n_ind","wmis_cv","wnon_cv","wspl_cv","wind_cv","pmis_cv","ptrunc_cv","pallsubs_cv","pind_cv","qmis_cv","qtrunc_cv","qallsubs_cv","qind_cv","pglobal_cv","qglobal_cv"
"18057","TP53",8,95,30,19,63,26.5708626122606,125.604626114187,125.604626114187,903.482998967596,0,0,0,1.51263700103783e-81,0,0,0,3.0390389987851e-77,0,0
"3015","CASP8",1,23,11,2,6,15.1257301729208,68.9488303080348,68.9488303080348,67.2380548569177,1.64828151127949e-11,3.33066907387547e-16,0,1.37083113961123e-07,1.65578119215581e-07,9.5594960518903e-13,0,0.000306015204732547,0,0
"3523","CDKN2A.p16INK4a",1,17,9,4,13,17.7831438243322,243.631136626693,243.631136626693,436.546754781099,9.76541070230041e-11,0,0,8.88022024582499e-22,6.53989554733059e-07,0,0,8.92062524794349e-18,0,0
"11521","NOTCH1",6,43,16,3,13,6.09860305841488,37.1742770825183,37.1742770825183,30.612993595321,1.62585289675832e-09,0,0,2.81491475881391e-08,6.92940413928866e-06,0,0,7.06930655241629e-05,0,0
"11664","NSD1",1,22,23,1,18,3.43110197268134,35.9476195501374,35.9476195501374,32.5232798150758,0.00395535946505576,0,0,8.87730686537201e-10,0.825765404373043,0,0,3.56707944464378e-06,0,0
"9207","KMT2D",1,22,23,6,17,2.85874196708159,39.3202662003374,39.3202662003374,19.0372224615592,0.0152740789304081,0,0,5.40923489093491e-07,0.825765404373043,0,0,0.000987972165397939,0,0
"6343","FAT1",9,27,54,3,39,1.25104214985598,32.8958843320861,32.8958843320861,31.3041868799457,0.49588648947772,0,0,2.28002549294032e-12,0.848764152770873,0,0,1.20203962037998e-08,0,0
"776","AJUBA",1,6,6,1,11,4.03662771755414,55.8070263475392,55.8070263475392,95.5654464802269,0.021266593901052,1.59808644095705e-09,6.25925866692967e-09,2.39319022523513e-12,0.825765404373043,4.0133943356585e-06,1.39727517641427e-05,1.20203962037998e-08,0,0
"3522","CDKN2A.p14arf",7,12,0,1,5,6.72028450002468,9.49573474623064,9.49573474623064,198.191099490292,1.34265874112138e-05,0.103845102985593,3.26546355784441e-05,4.69672455892116e-09,0.0224794639732248,0.878855561841508,0.028524534061153,1.57269821855475e-05,4.67870187037533e-12,1.04444221419679e-08
"6426","FBXW7",2,13,4,0,8,5.28404768120389,12.5652443003612,12.5652443003612,53.6013610706779,0.000308780047457158,0.000819225525899414,4.66468592704716e-05,2.65047845412342e-08,0.310184996673088,0.485309237755139,0.036045463446271,7.06930655241629e-05,3.5136116238732e-11,7.05919711352365e-08
"19947","ZNF750",1,8,5,0,6,3.62110596455506,32.6926644475313,32.6926644475313,41.024820992129,0.0191182467973519,2.86503593349696e-06,6.53857589871798e-06,2.06490560637991e-06,0.825765404373043,0.00442780284152981,0.00751505212224111,0.00296328703841277,3.5142111443065e-10,6.41854691820563e-07
"7949","HLA-B",0,6,2,2,4,7.03246069021121,49.9099584732851,49.9099584732851,57.3051481915291,0.00228748684586366,5.08123993847587e-06,1.91897276657915e-06,1.18279985915474e-05,0.705690150577082,0.00680581277359458,0.00257027212355612,0.0148522699814237,5.78987857657864e-10,9.6937042068368e-07
