gene,observed_dNdS,expected_dNdS,p_value,p_bonf,signif_bonf
CDKN2A,82.0,2.5544727621926637,8.450562429463997e-91,1.352681528084302e-86,True
PIK3CA,82.0,3.70840150302681,5.088831829966276e-78,8.145693110227018e-74,True
KMT2D,52.0,2.65373442170396,2.0172212764838975e-47,3.228966097267775e-43,True
CASP8,49.0,2.6795742330266314,2.250706450389827e-43,3.602705815138996e-39,True
NSD1,48.0,3.3192067542774297,6.392512014193203e-38,1.023249398111906e-33,True
HRAS,35.0,2.082437318096497,3.6162466922765645e-30,5.788526080327096e-26,True
EP300,34.0,3.4032375467349327,3.030276732267225e-22,4.850563965340147e-18,True
TP53,24.307692307692307,2.6807710752942278,4.691784438419989e-15,7.510139350578876e-11,True
NFE2L2,25.0,3.517361323762278,1.9997695647389875e-13,3.2010311422776974e-09,True
KEAP1,20.0,2.192467292606611,6.745532430595197e-13,1.0797573761653732e-08,True
PDE10A,21.0,3.0591483069462564,3.359468442130597e-11,5.377501135318446e-07,True
TGFBR2,19.0,2.485468848636871,5.087381711879795e-11,8.143371906205988e-07,True
LTBP1,20.0,2.9360432661598104,1.1480144824035957e-10,1.8376267819834356e-06,True
HERC1,21.0,3.313283181591652,1.4108787953585466e-10,2.2583936877304256e-06,True
DLG2,20.0,3.049543367814638,2.201879379087981e-10,3.524548322106131e-06,True
JMJD1C,22.0,3.8644733040857706,3.690672913559212e-10,5.907660132734231e-06,True
DGKK,19.0,3.0912172648580003,1.8119593525935556e-09,2.9004033356965043e-05,True
NPFFR2,18.0,2.8878477710300814,3.997397724621481e-09,6.398634537801606e-05,True
AJUBA,16.0,2.4215463435159035,1.3814230518494671e-08,0.0002211243879095442,True
LAMB4,18.0,3.17194655390066,1.6576186573475807e-08,0.00026533501848162726,True
HLA-B,15.0,2.297984647618963,4.713894928664833e-08,0.0007545531612313797,True
PSG8,16.0,2.6715844267815783,5.27114267871889e-08,0.0008437518085825328,True
DOPEY1,18.0,3.444142479321902,5.652225313582809e-08,0.0009047517059452003,True
BIRC6,18.0,3.507237307685011,7.386701319545836e-08,0.001182389280219702,True
TMEM2,16.0,3.1209513032491683,4.173689673740572e-07,0.006680825060756534,True
FREM1,15.0,2.8181955235808727,6.211632275625711e-07,0.009942959783594076,True
