Samples	Sig1	Sig2	Sig3
TCGA-4P-AA8J	144	0	0
TCGA-BA-4074	154	0	0
TCGA-BA-4075	122	0	0
TCGA-BA-4076	401	0	0
TCGA-BA-4077	324	0	0
TCGA-BA-4078	558	0	0
TCGA-BA-5149	129	0	0
TCGA-BA-5151	94	0	0
TCGA-BA-5152	571	0	0
TCGA-BA-5153	42	0	0
TCGA-BA-5555	155	0	0
TCGA-BA-5556	138	0	0
TCGA-BA-5557	30	0	0
TCGA-BA-5558	183	0	0
TCGA-BA-5559	68	0	0
TCGA-BA-6868	171	0	0
TCGA-BA-6869	557	0	0
TCGA-BA-6870	86	0	0
TCGA-BA-6871	156	0	0
TCGA-BA-6872	171	0	0
TCGA-BA-6873	55	1	12
TCGA-BA-7269	96	0	0
TCGA-BA-A4IF	100	0	0
TCGA-BA-A4IG	131	0	0
TCGA-BA-A4IH	38	0	10
TCGA-BA-A4II	79	1	21
TCGA-BA-A6D8	109	0	24
TCGA-BA-A6DA	807	0	0
TCGA-BA-A6DB	7	0	4
TCGA-BA-A6DD	51	0	0
TCGA-BA-A6DE	139	0	0
TCGA-BA-A6DG	21	0	0
TCGA-BA-A6DI	108	0	0
TCGA-BA-A6DJ	284	0	0
TCGA-BA-A6DL	92	0	0
TCGA-BA-A8YP	174	5	2
TCGA-BB-4217	19	0	0
TCGA-BB-4223	88	0	0
TCGA-BB-4224	93	0	0
TCGA-BB-4225	66	2	5
TCGA-BB-4227	296	0	0
TCGA-BB-4228	47	0	0
TCGA-BB-7870	325	0	0
TCGA-BB-8596	93	0	0
TCGA-BB-8601	72	0	0
TCGA-BB-A5HU	213	0	0
TCGA-BB-A5HY	239	0	0
TCGA-BB-A5HZ	80	0	0
TCGA-BB-A6UM	81	0	0
TCGA-BB-A6UO	118	0	0
TCGA-C9-A47Z	121	0	0
TCGA-C9-A480	60	0	0
TCGA-CN-4725	59	0	0
TCGA-CN-4726	83	0	0
TCGA-CN-4727	483	2	1
TCGA-CN-4728	83	0	0
TCGA-CN-4729	146	0	0
TCGA-CN-4730	191	0	0
TCGA-CN-4731	131	0	0
TCGA-CN-4733	7	0	5
TCGA-CN-4734	179	0	0
TCGA-CN-4735	169	0	0
TCGA-CN-4736	96	0	0
TCGA-CN-4737	50	0	0
TCGA-CN-4738	84	0	0
TCGA-CN-4739	191	0	45
TCGA-CN-4740	133	0	0
TCGA-CN-4741	116	0	0
TCGA-CN-4742	73	0	0
TCGA-CN-5355	115	0	0
TCGA-CN-5356	357	9	31
TCGA-CN-5358	16	0	0
TCGA-CN-5359	117	0	0
TCGA-CN-5360	579	0	0
TCGA-CN-5361	128	0	0
TCGA-CN-5363	207	0	0
TCGA-CN-5364	139	0	0
TCGA-CN-5365	73	0	0
TCGA-CN-5366	100	0	0
TCGA-CN-5367	89	0	0
TCGA-CN-5369	302	0	0
TCGA-CN-5370	99	0	0
TCGA-CN-5373	162	0	0
TCGA-CN-5374	169	0	0
TCGA-CN-6010	118	0	0
TCGA-CN-6011	399	0	0
TCGA-CN-6012	108	0	0
TCGA-CN-6013	196	0	0
TCGA-CN-6016	123	0	0
TCGA-CN-6018	106	0	0
TCGA-CN-6019	134	0	0
TCGA-CN-6020	121	0	0
TCGA-CN-6021	318	0	0
TCGA-CN-6022	82	0	0
TCGA-CN-6023	105	0	0
TCGA-CN-6024	153	0	35
TCGA-CN-6988	178	0	0
TCGA-CN-6989	114	0	0
TCGA-CN-6992	389	0	0
TCGA-CN-6994	125	0	0
TCGA-CN-6995	247	0	0
TCGA-CN-6996	52	0	0
TCGA-CN-6997	154	0	0
TCGA-CN-6998	98	0	0
TCGA-CN-A497	402	0	0
TCGA-CN-A498	127	0	0
TCGA-CN-A499	28	1	4
TCGA-CN-A49A	136	0	0
TCGA-CN-A49B	112	0	0
TCGA-CN-A49C	52	0	0
TCGA-CN-A63T	288	0	0
TCGA-CN-A63U	620	0	0
TCGA-CN-A63V	90	0	0
TCGA-CN-A63W	458	0	0
TCGA-CN-A641	246	0	0
TCGA-CN-A642	83	0	0
TCGA-CN-A6UY	46	0	0
TCGA-CN-A6V1	108	0	0
TCGA-CN-A6V3	265	0	0
TCGA-CN-A6V6	82	0	0
TCGA-CN-A6V7	58	0	0
TCGA-CQ-5323	47	2	4
TCGA-CQ-5324	72	0	0
TCGA-CQ-5325	45	0	0
TCGA-CQ-5326	250	0	0
TCGA-CQ-5327	258	0	0
TCGA-CQ-5329	31	0	0
TCGA-CQ-5330	62	0	0
