Samples	SBS1	SBS5	SBS96A	SBS96B	SBS96C
TCGA-4P-AA8J	5	139	0	0	0
TCGA-BA-4074	21	133	0	0	0
TCGA-BA-4075	14	108	0	0	0
TCGA-BA-4076	13	324	64	0	0
TCGA-BA-4077	9	315	0	0	0
TCGA-BA-4078	33	465	60	0	0
TCGA-BA-5149	13	116	0	0	0
TCGA-BA-5151	15	79	0	0	0
TCGA-BA-5152	16	555	0	0	0
TCGA-BA-5153	7	35	0	0	0
TCGA-BA-5555	8	147	0	0	0
TCGA-BA-5556	24	114	0	0	0
TCGA-BA-5557	7	23	0	0	0
TCGA-BA-5558	13	170	0	0	0
TCGA-BA-5559	10	58	0	0	0
TCGA-BA-6868	7	164	0	0	0
TCGA-BA-6869	18	465	74	0	0
TCGA-BA-6870	0	86	0	0	0
TCGA-BA-6871	7	149	0	0	0
TCGA-BA-6872	19	152	0	0	0
TCGA-BA-6873	17	51	0	0	0
TCGA-BA-7269	14	82	0	0	0
TCGA-BA-A4IF	16	84	0	0	0
TCGA-BA-A4IG	6	125	0	0	0
TCGA-BA-A4IH	7	41	0	0	0
TCGA-BA-A4II	10	91	0	0	0
TCGA-BA-A6D8	19	114	0	0	0
TCGA-BA-A6DA	55	641	111	0	0
TCGA-BA-A6DB	3	8	0	0	0
TCGA-BA-A6DD	12	39	0	0	0
TCGA-BA-A6DE	12	127	0	0	0
TCGA-BA-A6DG	3	18	0	0	0
TCGA-BA-A6DI	10	98	0	0	0
TCGA-BA-A6DJ	31	253	0	0	0
TCGA-BA-A6DL	12	80	0	0	0
TCGA-BA-A8YP	17	164	0	0	0
TCGA-BB-4217	0	19	0	0	0
TCGA-BB-4223	8	80	0	0	0
TCGA-BB-4224	16	77	0	0	0
TCGA-BB-4225	14	59	0	0	0
TCGA-BB-4227	13	283	0	0	0
TCGA-BB-4228	12	35	0	0	0
TCGA-BB-7870	39	250	36	0	0
TCGA-BB-8596	5	88	0	0	0
TCGA-BB-8601	6	66	0	0	0
TCGA-BB-A5HU	10	203	0	0	0
TCGA-BB-A5HY	14	225	0	0	0
TCGA-BB-A5HZ	14	66	0	0	0
TCGA-BB-A6UM	18	63	0	0	0
TCGA-BB-A6UO	6	112	0	0	0
TCGA-C9-A47Z	30	91	0	0	0
TCGA-C9-A480	15	45	0	0	0
TCGA-CN-4725	16	43	0	0	0
TCGA-CN-4726	15	68	0	0	0
TCGA-CN-4727	50	375	61	0	0
TCGA-CN-4728	3	80	0	0	0
TCGA-CN-4729	15	131	0	0	0
TCGA-CN-4730	15	176	0	0	0
TCGA-CN-4731	22	109	0	0	0
TCGA-CN-4733	4	8	0	0	0
TCGA-CN-4734	25	154	0	0	0
TCGA-CN-4735	14	155	0	0	0
TCGA-CN-4736	18	78	0	0	0
TCGA-CN-4737	10	40	0	0	0
TCGA-CN-4738	6	78	0	0	0
TCGA-CN-4739	24	201	0	0	11
TCGA-CN-4740	15	118	0	0	0
TCGA-CN-4741	20	96	0	0	0
TCGA-CN-4742	17	56	0	0	0
TCGA-CN-5355	21	94	0	0	0
TCGA-CN-5356	29	368	0	0	0
TCGA-CN-5358	1	15	0	0	0
TCGA-CN-5359	20	97	0	0	0
TCGA-CN-5360	22	557	0	0	0
TCGA-CN-5361	11	117	0	0	0
TCGA-CN-5363	4	182	21	0	0
TCGA-CN-5364	7	132	0	0	0
TCGA-CN-5365	5	68	0	0	0
TCGA-CN-5366	14	86	0	0	0
TCGA-CN-5367	14	75	0	0	0
TCGA-CN-5369	47	255	0	0	0
TCGA-CN-5370	13	86	0	0	0
TCGA-CN-5373	23	139	0	0	0
TCGA-CN-5374	17	152	0	0	0
TCGA-CN-6010	14	104	0	0	0
TCGA-CN-6011	7	392	0	0	0
TCGA-CN-6012	8	100	0	0	0
TCGA-CN-6013	20	176	0	0	0
TCGA-CN-6016	14	109	0	0	0
TCGA-CN-6018	15	91	0	0	0
TCGA-CN-6019	13	121	0	0	0
TCGA-CN-6020	20	101	0	0	0
TCGA-CN-6021	20	298	0	0	0
TCGA-CN-6022	11	71	0	0	0
TCGA-CN-6023	6	99	0	0	0
TCGA-CN-6024	21	167	0	0	0
TCGA-CN-6988	27	151	0	0	0
TCGA-CN-6989	9	105	0	0	0
TCGA-CN-6992	49	340	0	0	0
TCGA-CN-6994	15	110	0	0	0
TCGA-CN-6995	16	231	0	0	0
TCGA-CN-6996	12	40	0	0	0
TCGA-CN-6997	9	145	0	0	0
TCGA-CN-6998	27	71	0	0	0
TCGA-CN-A497	5	397	0	0	0
TCGA-CN-A498	5	122	0	0	0
TCGA-CN-A499	11	22	0	0	0
TCGA-CN-A49A	14	122	0	0	0
TCGA-CN-A49B	16	96	0	0	0
TCGA-CN-A49C	15	37	0	0	0
TCGA-CN-A63T	36	221	31	0	0
TCGA-CN-A63U	24	537	59	0	0
TCGA-CN-A63V	32	58	0	0	0
TCGA-CN-A63W	40	348	70	0	0
TCGA-CN-A641	29	217	0	0	0
TCGA-CN-A642	22	61	0	0	0
TCGA-CN-A6UY	5	41	0	0	0
TCGA-CN-A6V1	1	107	0	0	0
TCGA-CN-A6V3	17	248	0	0	0
TCGA-CN-A6V6	13	69	0	0	0
TCGA-CN-A6V7	14	44	0	0	0
TCGA-CQ-5323	9	44	0	0	0
TCGA-CQ-5324	16	56	0	0	0
TCGA-CQ-5325	1	44	0	0	0
TCGA-CQ-5326	17	233	0	0	0
TCGA-CQ-5327	25	233	0	0	0
TCGA-CQ-5329	12	19	0	0	0
TCGA-CQ-5330	10	52	0	0	0
TCGA-CQ-5331	12	144	0	0	0
TCGA-CQ-5332	28	127	0	0	0
TCGA-CQ-5333	24	197	0	0	0
TCGA-CQ-5334	33	154	0	0	0
TCGA-CQ-6218	17	133	0	0	0
TCGA-CQ-6219	5	50	0	0	0
TCGA-CQ-6220	11	107	0	0	0
TCGA-CQ-6221	6	115	0	0	0
TCGA-CQ-6222	9	37	0	0	0
TCGA-CQ-6223	18	78	0	0	0
TCGA-CQ-6224	11	47	0	0	0
TCGA-CQ-6225	19	127	0	0	0
TCGA-CQ-6227	14	33	0	0	0
TCGA-CQ-6228	10	96	0	0	0
TCGA-CQ-6229	7	22	0	0	0
TCGA-CQ-7063	11	131	0	0	0
TCGA-CQ-7065	3	30	0	0	0
TCGA-CQ-7068	17	100	0	0	0
TCGA-CQ-7069	5	98	0	0	0
TCGA-CQ-7071	9	519	0	0	0
TCGA-CQ-7072	9	115	0	0	0
TCGA-CQ-A4C6	16	110	0	0	0
TCGA-CQ-A4C7	5	42	0	0	0
TCGA-CQ-A4C9	12	79	0	0	0
TCGA-CQ-A4CB	8	85	0	0	0
TCGA-CQ-A4CD	17	149	0	0	0
TCGA-CQ-A4CE	21	44	0	0	0
TCGA-CQ-A4CG	21	71	0	0	0
TCGA-CQ-A4CH	1	5	0	0	0
TCGA-CQ-A4CI	18	102	0	0	0
TCGA-CR-5243	17	50	0	0	0
TCGA-CR-5247	12	63	0	0	0
TCGA-CR-5248	24	315	0	0	0
TCGA-CR-5249	6	27	0	0	0
TCGA-CR-5250	4	39	0	0	0
TCGA-CR-6467	13	41	0	0	0
TCGA-CR-6470	9	27	0	0	0
TCGA-CR-6471	23	125	0	0	0
TCGA-CR-6472	0	541	0	0	0
TCGA-CR-6473	18	85	0	0	0
TCGA-CR-6474	6	96	0	0	0
TCGA-CR-6477	4	74	0	0	0
TCGA-CR-6478	9	119	0	0	0
TCGA-CR-6480	9	116	0	0	0
TCGA-CR-6481	17	520	0	0	0
TCGA-CR-6482	8	35	0	0	0
TCGA-CR-6484	11	258	0	0	0
TCGA-CR-6487	29	113	0	0	0
TCGA-CR-6488	12	22	0	0	0
TCGA-CR-6491	10	118	0	0	0
TCGA-CR-6492	2	36	0	0	0
TCGA-CR-6493	9	27	0	0	0
TCGA-CR-7364	50	477	0	0	0
TCGA-CR-7365	7	192	0	0	0
TCGA-CR-7367	17	161	0	0	0
TCGA-CR-7368	9	200	0	0	0
TCGA-CR-7369	8	74	0	0	0
TCGA-CR-7370	56	559	0	0	0
TCGA-CR-7371	23	284	0	0	0
TCGA-CR-7372	11	39	0	0	0
TCGA-CR-7373	20	105	0	0	0
TCGA-CR-7374	10	352	0	0	0
TCGA-CR-7376	8	29	0	0	0
TCGA-CR-7377	16	102	0	0	0
TCGA-CR-7379	33	119	0	0	0
TCGA-CR-7380	28	67	0	0	0
TCGA-CR-7382	12	59	0	0	0
TCGA-CR-7383	25	108	0	0	0
TCGA-CR-7385	2	39	0	0	0
TCGA-CR-7386	12	176	0	0	0
TCGA-CR-7388	29	670	0	0	0
TCGA-CR-7389	10	74	0	0	4
TCGA-CR-7390	14	140	0	0	0
TCGA-CR-7391	2	0	0	0	0
TCGA-CR-7392	1	6	0	0	0
TCGA-CR-7394	13	112	0	0	0
TCGA-CR-7395	9	139	0	0	0
TCGA-CR-7397	1	31	0	0	0
TCGA-CR-7398	33	368	0	0	0
TCGA-CR-7399	39	279	0	0	0
TCGA-CR-7401	29	70	0	0	0
TCGA-CR-7404	14	101	0	0	0
TCGA-CV-5430	10	146	0	0	0
TCGA-CV-5432	39	239	39	0	0
TCGA-CV-5434	30	124	0	0	0
TCGA-CV-5435	14	114	0	0	0
TCGA-CV-5436	10	101	0	0	0
TCGA-CV-5439	1	119	0	0	0
TCGA-CV-5440	11	115	0	0	0
TCGA-CV-5441	63	335	43	0	0
TCGA-CV-5442	31	263	0	0	0
TCGA-CV-5443	17	40	0	0	0
TCGA-CV-5444	11	119	0	0	0
TCGA-CV-5966	19	109	0	0	0
TCGA-CV-5970	52	157	0	0	0
TCGA-CV-5971	3	6	0	0	0
TCGA-CV-5973	20	43	0	0	0
TCGA-CV-5976	8	77	0	0	0
TCGA-CV-5977	21	77	0	0	0
TCGA-CV-5978	12	173	0	0	0
TCGA-CV-5979	7	23	0	0	0
TCGA-CV-6003	17	79	0	0	0
TCGA-CV-6433	10	38	0	0	0
TCGA-CV-6436	22	67	0	0	0
TCGA-CV-6441	11	250	0	0	0
TCGA-CV-6933	10	111	0	0	0
TCGA-CV-6934	9	89	0	0	0
TCGA-CV-6935	9	240	0	0	0
TCGA-CV-6936	30	256	0	0	0
TCGA-CV-6937	17	115	0	0	0
TCGA-CV-6938	24	102	0	0	0
TCGA-CV-6939	4	28	0	0	0
TCGA-CV-6940	11	136	0	0	0
TCGA-CV-6941	34	129	0	0	0
TCGA-CV-6942	28	236	0	0	0
TCGA-CV-6943	6	34	0	0	0
TCGA-CV-6945	24	131	0	0	0
TCGA-CV-6948	18	194	0	0	0
TCGA-CV-6950	5	56	0	0	0
TCGA-CV-6951	14	135	0	0	0
TCGA-CV-6952	11	179	0	0	0
TCGA-CV-6953	28	98	0	0	0
TCGA-CV-6954	8	110	0	0	0
TCGA-CV-6955	15	70	0	0	0
TCGA-CV-6956	23	203	0	0	0
TCGA-CV-6959	17	52	0	0	0
TCGA-CV-6960	6	191	0	0	0
TCGA-CV-6961	11	637	0	0	0
TCGA-CV-6962	16	140	0	0	0
TCGA-CV-7089	2	166	0	0	0
TCGA-CV-7090	5	46	0	0	0
TCGA-CV-7091	10	127	0	0	0
TCGA-CV-7095	43	220	0	0	0
TCGA-CV-7097	13	74	0	0	0
TCGA-CV-7099	20	279	0	0	0
TCGA-CV-7100	0	14	0	0	0
TCGA-CV-7101	19	164	0	0	0
TCGA-CV-7102	19	149	0	0	0
TCGA-CV-7103	1	45	0	0	0
TCGA-CV-7104	24	92	0	0	0
TCGA-CV-7177	12	88	0	0	0
TCGA-CV-7178	33	101	0	0	0
TCGA-CV-7180	9	50	0	0	0
TCGA-CV-7183	19	46	0	0	0
TCGA-CV-7235	14	131	0	0	0
TCGA-CV-7236	12	35	0	0	0
TCGA-CV-7238	10	37	0	0	0
TCGA-CV-7242	34	277	35	0	0
TCGA-CV-7243	22	52	0	0	0
TCGA-CV-7245	35	512	52	0	0
TCGA-CV-7247	5	56	0	0	0
TCGA-CV-7248	15	297	0	0	0
TCGA-CV-7250	41	169	0	0	0
TCGA-CV-7252	36	220	0	0	0
TCGA-CV-7253	34	137	19	0	0
TCGA-CV-7254	11	266	0	0	0
TCGA-CV-7255	16	91	0	0	0
TCGA-CV-7261	19	95	0	0	0
TCGA-CV-7263	18	109	0	0	0
TCGA-CV-7406	10	215	0	0	0
TCGA-CV-7407	8	104	0	0	0
TCGA-CV-7410	0	21	0	0	0
TCGA-CV-7411	9	112	0	0	0
TCGA-CV-7413	15	65	0	0	0
TCGA-CV-7414	19	237	0	0	0
TCGA-CV-7415	20	58	0	0	0
TCGA-CV-7416	19	56	0	0	0
TCGA-CV-7418	17	156	0	0	0
TCGA-CV-7421	8	56	0	0	0
TCGA-CV-7422	12	126	0	0	0
TCGA-CV-7423	11	62	0	0	0
TCGA-CV-7424	28	167	0	0	0
TCGA-CV-7425	25	95	0	0	0
TCGA-CV-7427	5	501	0	0	0
TCGA-CV-7429	11	46	0	0	0
TCGA-CV-7430	17	109	0	0	0
TCGA-CV-7432	26	155	0	0	0
TCGA-CV-7433	11	92	0	0	0
TCGA-CV-7434	24	87	0	0	0
TCGA-CV-7435	2	83	0	0	0
TCGA-CV-7437	26	109	0	0	0
TCGA-CV-7438	25	77	0	0	0
TCGA-CV-7440	14	209	0	0	0
TCGA-CV-7446	13	153	0	0	0
TCGA-CV-A45O	10	135	0	0	0
TCGA-CV-A45P	20	161	0	0	0
TCGA-CV-A45Q	34	290	0	0	0
TCGA-CV-A45R	12	86	0	0	0
TCGA-CV-A45T	4	5	0	0	0
TCGA-CV-A45U	10	210	0	0	0
TCGA-CV-A45V	18	101	0	0	0
TCGA-CV-A45W	32	522	0	0	0
TCGA-CV-A45X	12	103	0	0	0
TCGA-CV-A45Y	7	34	0	0	0
TCGA-CV-A45Z	25	542	84	0	0
TCGA-CV-A460	11	62	0	0	0
TCGA-CV-A461	29	578	81	0	0
TCGA-CV-A463	32	219	0	0	0
TCGA-CV-A464	2	23	0	0	0
TCGA-CV-A465	7	29	0	0	0
TCGA-CV-A468	31	127	0	0	0
TCGA-CV-A6JD	26	73	0	0	0
TCGA-CV-A6JE	9	145	0	0	0
TCGA-CV-A6JM	11	331	0	0	0
TCGA-CV-A6JN	10	79	0	0	0
TCGA-CV-A6JO	19	46	0	0	0
TCGA-CV-A6JT	11	48	0	0	0
TCGA-CV-A6JU	6	134	0	0	0
TCGA-CV-A6JY	24	62	0	0	0
TCGA-CV-A6JZ	12	95	0	0	0
TCGA-CV-A6K0	5	2	0	0	0
TCGA-CV-A6K1	88	445	0	0	0
TCGA-CV-A6K2	11	762	0	0	0
TCGA-CX-7082	10	95	0	0	0
TCGA-CX-7085	5	77	0	0	0
TCGA-CX-7086	19	232	0	0	0
TCGA-CX-7219	22	106	0	0	0
TCGA-CX-A4AQ	14	98	0	0	0
TCGA-D6-6515	7	32	0	0	0
TCGA-D6-6517	14	61	0	0	0
TCGA-D6-6823	3	109	0	0	0
TCGA-D6-6824	2	16	0	0	0
TCGA-D6-6825	19	63	0	0	0
TCGA-D6-6826	19	90	0	0	0
TCGA-D6-6827	1	11	0	0	0
TCGA-D6-8568	8	102	0	0	0
TCGA-D6-8569	10	135	0	0	0
TCGA-D6-A4Z9	14	92	0	0	0
TCGA-D6-A4ZB	8	111	0	0	0
TCGA-D6-A6EK	23	163	0	0	0
TCGA-D6-A6EM	19	81	0	0	0
TCGA-D6-A6EN	13	96	0	0	0
TCGA-D6-A6EO	11	86	0	0	0
TCGA-D6-A6EP	8	141	0	0	0
TCGA-D6-A6EQ	11	90	0	0	0
TCGA-D6-A6ES	23	212	0	0	0
TCGA-D6-A74Q	33	444	0	0	0
TCGA-DQ-5624	8	75	0	0	0
TCGA-DQ-5625	15	195	0	0	0
TCGA-DQ-5629	50	289	40	0	0
TCGA-DQ-5630	15	42	0	0	0
TCGA-DQ-5631	16	85	0	0	0
TCGA-DQ-7588	6	109	0	0	0
TCGA-DQ-7591	6	34	0	0	0
TCGA-DQ-7592	14	70	0	0	0
TCGA-DQ-7593	4	19	0	0	0
TCGA-DQ-7596	6	12	0	0	0
TCGA-F7-7848	8	362	0	0	0
TCGA-F7-8298	11	100	0	0	0
TCGA-F7-8489	10	110	0	0	0
TCGA-F7-A50G	30	82	0	0	0
TCGA-F7-A50I	17	134	0	0	0
TCGA-F7-A50J	30	145	0	0	0
TCGA-F7-A61S	20	102	0	0	0
TCGA-F7-A61V	9	105	0	0	0
TCGA-F7-A61W	1	73	0	0	0
TCGA-F7-A620	8	48	0	0	0
TCGA-F7-A622	12	51	0	0	0
TCGA-F7-A623	22	181	0	0	0
TCGA-H7-7774	20	120	0	0	0
TCGA-H7-8501	14	160	0	0	0
TCGA-H7-A6C4	10	21	0	0	0
TCGA-H7-A6C5	23	94	0	0	0
TCGA-H7-A76A	8	74	0	0	0
TCGA-HD-7229	22	139	0	0	0
TCGA-HD-7753	1	102	0	0	0
TCGA-HD-7754	16	53	0	0	0
TCGA-HD-7831	7	29	0	0	0
TCGA-HD-7832	9	107	0	0	0
TCGA-HD-8224	10	63	0	0	0
TCGA-HD-8314	4	73	0	0	0
TCGA-HD-8634	10	53	0	0	0
TCGA-HD-8635	16	220	0	0	0
TCGA-HD-A4C1	24	204	0	0	0
TCGA-HD-A633	18	136	0	0	0
TCGA-HD-A634	16	28	0	0	0
TCGA-HD-A6HZ	20	70	0	0	0
TCGA-HD-A6I0	17	67	0	0	0
TCGA-IQ-7630	37	108	0	0	0
TCGA-IQ-7631	12	25	0	0	0
TCGA-IQ-7632	5	36	0	0	0
TCGA-IQ-A61E	15	173	0	0	0
TCGA-IQ-A61G	14	135	0	0	0
TCGA-IQ-A61H	22	127	0	0	0
TCGA-IQ-A61I	7	140	0	0	0
TCGA-IQ-A61J	13	26	0	0	0
TCGA-IQ-A61O	14	27	0	0	0
TCGA-IQ-A6SG	14	101	0	0	0
TCGA-IQ-A6SH	18	68	0	0	0
TCGA-KU-A66S	58	351	92	0	0
TCGA-KU-A66T	17	100	0	0	0
TCGA-KU-A6H7	7	143	0	0	0
TCGA-KU-A6H8	3	18	0	0	0
TCGA-MT-A51W	5	64	0	0	0
TCGA-MT-A51X	17	40	0	0	0
TCGA-MT-A67A	25	91	0	0	0
TCGA-MT-A67D	15	90	0	0	0
