Samples	SBS1	SBS2	SBS5	SBS13	SBS31	SBS95
TCGA-4P-AA8J	5	13	104	22	0	0
TCGA-BA-4074	22	0	80	0	52	0
TCGA-BA-4075	14	0	108	0	0	0
TCGA-BA-4076	16	0	162	0	0	223
TCGA-BA-4077	14	91	127	92	0	0
TCGA-BA-4078	29	0	244	0	0	285
TCGA-BA-5149	12	0	68	22	27	0
TCGA-BA-5151	16	7	32	5	34	0
TCGA-BA-5152	28	200	153	190	0	0
TCGA-BA-5153	7	0	35	0	0	0
TCGA-BA-5555	7	0	104	0	0	44
TCGA-BA-5556	24	0	114	0	0	0
TCGA-BA-5557	7	4	2	4	13	0
TCGA-BA-5558	16	65	71	31	0	0
TCGA-BA-5559	10	7	15	0	36	0
TCGA-BA-6868	8	19	124	20	0	0
TCGA-BA-6869	22	0	261	0	0	274
TCGA-BA-6870	0	9	77	0	0	0
TCGA-BA-6871	8	17	99	32	0	0
TCGA-BA-6872	20	13	119	19	0	0
TCGA-BA-6873	17	5	23	5	18	0
TCGA-BA-7269	14	0	82	0	0	0
TCGA-BA-A4IF	17	9	29	11	34	0
TCGA-BA-A4IG	7	18	92	14	0	0
TCGA-BA-A4IH	7	0	41	0	0	0
TCGA-BA-A4II	10	0	91	0	0	0
TCGA-BA-A6D8	19	0	114	0	0	0
TCGA-BA-A6DA	45	0	270	0	0	492
TCGA-BA-A6DB	3	0	8	0	0	0
TCGA-BA-A6DD	12	0	24	0	15	0
TCGA-BA-A6DE	13	17	94	15	0	0
TCGA-BA-A6DG	3	0	11	0	7	0
TCGA-BA-A6DI	10	0	98	0	0	0
TCGA-BA-A6DJ	33	43	78	48	82	0
TCGA-BA-A6DL	12	0	80	0	0	0
TCGA-BA-A8YP	17	18	131	15	0	0
TCGA-BB-4217	0	0	19	0	0	0
TCGA-BB-4223	9	19	17	26	17	0
TCGA-BB-4224	17	17	16	18	25	0
TCGA-BB-4225	15	14	23	0	21	0
TCGA-BB-4227	17	69	91	119	0	0
TCGA-BB-4228	12	5	6	6	18	0
TCGA-BB-7870	28	0	127	0	0	170
TCGA-BB-8596	6	0	70	17	0	0
TCGA-BB-8601	6	0	66	0	0	0
TCGA-BB-A5HU	14	66	75	58	0	0
TCGA-BB-A5HY	15	32	158	34	0	0
TCGA-BB-A5HZ	14	0	66	0	0	0
TCGA-BB-A6UM	18	0	25	0	38	0
TCGA-BB-A6UO	6	0	87	0	25	0
TCGA-C9-A47Z	27	0	58	0	0	36
TCGA-C9-A480	15	5	25	0	15	0
TCGA-CN-4725	16	0	12	0	31	0
TCGA-CN-4726	15	0	42	0	26	0
TCGA-CN-4727	37	0	207	0	0	242
TCGA-CN-4728	4	11	27	11	30	0
TCGA-CN-4729	16	13	102	15	0	0
TCGA-CN-4730	16	24	112	39	0	0
TCGA-CN-4731	22	15	52	12	30	0
TCGA-CN-4733	4	0	8	0	0	0
TCGA-CN-4734	26	25	35	34	59	0
TCGA-CN-4735	16	39	104	10	0	0
TCGA-CN-4736	16	0	30	0	28	22
TCGA-CN-4737	10	0	40	0	0	0
TCGA-CN-4738	7	10	44	0	23	0
TCGA-CN-4739	22	0	129	0	0	85
TCGA-CN-4740	16	24	80	13	0	0
TCGA-CN-4741	21	17	73	5	0	0
TCGA-CN-4742	17	0	56	0	0	0
TCGA-CN-5355	19	0	58	0	0	38
TCGA-CN-5356	26	0	235	0	0	136
TCGA-CN-5358	1	0	8	0	0	7
TCGA-CN-5359	18	0	59	0	0	40
TCGA-CN-5360	20	0	234	0	0	325
TCGA-CN-5361	12	19	90	7	0	0
TCGA-CN-5363	6	0	120	0	0	81
TCGA-CN-5364	8	16	106	9	0	0
TCGA-CN-5365	5	9	59	0	0	0
TCGA-CN-5366	15	11	38	5	31	0
TCGA-CN-5367	14	0	75	0	0	0
TCGA-CN-5369	48	33	88	45	88	0
TCGA-CN-5370	13	12	39	13	22	0
TCGA-CN-5373	24	15	87	0	36	0
TCGA-CN-5374	19	40	48	28	34	0
TCGA-CN-6010	15	0	73	0	30	0
TCGA-CN-6011	13	114	174	98	0	0
TCGA-CN-6012	8	8	77	15	0	0
TCGA-CN-6013	23	62	91	20	0	0
TCGA-CN-6016	14	8	84	17	0	0
TCGA-CN-6018	16	15	36	11	28	0
TCGA-CN-6019	12	0	79	0	0	43
TCGA-CN-6020	21	12	42	6	40	0
TCGA-CN-6021	18	0	157	0	0	143
TCGA-CN-6022	12	15	47	8	0	0
TCGA-CN-6023	7	15	70	13	0	0
TCGA-CN-6024	21	0	167	0	0	0
TCGA-CN-6988	23	0	76	0	0	79
TCGA-CN-6989	10	15	89	0	0	0
TCGA-CN-6992	44	0	75	0	112	158
TCGA-CN-6994	15	14	78	18	0	0
TCGA-CN-6995	14	0	150	0	0	83
TCGA-CN-6996	13	9	26	4	0	0
TCGA-CN-6997	10	14	85	10	35	0
TCGA-CN-6998	27	14	22	15	20	0
TCGA-CN-A497	6	0	173	0	0	223
TCGA-CN-A498	6	22	80	19	0	0
TCGA-CN-A499	11	0	9	0	13	0
TCGA-CN-A49A	15	22	84	15	0	0
TCGA-CN-A49B	16	0	96	0	0	0
TCGA-CN-A49C	15	5	20	0	12	0
TCGA-CN-A63T	27	0	161	0	0	100
TCGA-CN-A63U	25	0	296	0	0	299
TCGA-CN-A63V	32	0	30	0	28	0
TCGA-CN-A63W	30	0	202	0	0	226
TCGA-CN-A641	26	18	84	0	0	118
TCGA-CN-A642	22	13	11	8	29	0
TCGA-CN-A6UY	5	0	41	0	0	0
TCGA-CN-A6V1	3	31	57	17	0	0
TCGA-CN-A6V3	15	0	128	0	0	122
TCGA-CN-A6V6	14	10	58	0	0	0
TCGA-CN-A6V7	15	10	9	4	20	0
TCGA-CQ-5323	9	0	22	0	22	0
TCGA-CQ-5324	17	6	17	4	28	0
TCGA-CQ-5325	1	0	44	0	0	0
TCGA-CQ-5326	19	50	113	68	0	0
TCGA-CQ-5327	29	73	47	52	57	0
TCGA-CQ-5329	12	0	5	0	14	0
TCGA-CQ-5330	10	0	30	0	22	0
TCGA-CQ-5331	14	39	55	48	0	0
TCGA-CQ-5332	29	11	60	0	55	0
TCGA-CQ-5333	27	50	71	33	40	0
