Samples	SBS1	SBS2	SBS4	SBS5	SBS13	SBS19	SBS30	SBS31	SBS87
TCGA-4P-AA8J	5	13	0	104	22	0	0	0	0
TCGA-BA-4074	22	0	0	80	0	0	0	52	0
TCGA-BA-4075	8	0	0	98	0	0	0	0	16
TCGA-BA-4076	17	0	230	154	0	0	0	0	0
TCGA-BA-4077	14	91	0	127	92	0	0	0	0
TCGA-BA-4078	32	0	298	151	0	0	77	0	0
TCGA-BA-5149	12	0	0	68	22	0	0	27	0
TCGA-BA-5151	16	7	0	32	5	0	0	34	0
TCGA-BA-5152	28	200	0	153	190	0	0	0	0
TCGA-BA-5153	7	0	0	35	0	0	0	0	0
TCGA-BA-5555	7	0	41	107	0	0	0	0	0
TCGA-BA-5556	24	0	0	114	0	0	0	0	0
TCGA-BA-5557	7	4	0	2	4	0	0	13	0
TCGA-BA-5558	16	65	0	71	31	0	0	0	0
TCGA-BA-5559	3	0	0	18	0	27	0	0	20
TCGA-BA-6868	8	19	0	124	20	0	0	0	0
TCGA-BA-6869	24	0	286	247	0	0	0	0	0
TCGA-BA-6870	0	9	0	77	0	0	0	0	0
TCGA-BA-6871	8	17	0	99	32	0	0	0	0
TCGA-BA-6872	20	13	0	119	19	0	0	0	0
TCGA-BA-6873	11	0	0	22	0	18	0	0	17
TCGA-BA-7269	4	0	0	68	0	0	0	0	24
TCGA-BA-A4IF	17	9	0	29	11	0	0	34	0
TCGA-BA-A4IG	7	18	0	92	14	0	0	0	0
TCGA-BA-A4IH	0	0	12	12	0	8	0	0	16
TCGA-BA-A4II	0	8	0	59	4	0	0	0	30
TCGA-BA-A6D8	0	0	0	88	0	0	0	0	45
TCGA-BA-A6DA	48	0	456	303	0	0	0	0	0
TCGA-BA-A6DB	0	0	0	4	0	0	0	0	7
TCGA-BA-A6DD	12	0	0	24	0	0	0	15	0
TCGA-BA-A6DE	5	17	0	82	15	0	0	0	20
TCGA-BA-A6DG	0	0	0	7	0	0	6	0	8
TCGA-BA-A6DI	10	0	0	98	0	0	0	0	0
TCGA-BA-A6DJ	13	29	0	52	50	0	88	0	52
TCGA-BA-A6DL	12	0	0	80	0	0	0	0	0
TCGA-BA-A8YP	17	18	0	131	15	0	0	0	0
TCGA-BB-4217	0	0	0	19	0	0	0	0	0
TCGA-BB-4223	9	19	0	17	26	0	0	17	0
TCGA-BB-4224	5	17	0	0	17	0	0	24	30
TCGA-BB-4225	17	13	0	17	0	26	0	0	0
TCGA-BB-4227	17	69	0	91	119	0	0	0	0
TCGA-BB-4228	14	0	0	0	8	0	25	0	0
TCGA-BB-7870	29	0	148	148	0	0	0	0	0
TCGA-BB-8596	6	0	0	70	17	0	0	0	0
TCGA-BB-8601	0	0	0	55	0	0	0	0	17
TCGA-BB-A5HU	14	66	0	75	58	0	0	0	0
TCGA-BB-A5HY	15	32	0	158	34	0	0	0	0
TCGA-BB-A5HZ	15	0	0	38	0	0	27	0	0
TCGA-BB-A6UM	8	0	0	15	0	0	0	34	24
TCGA-BB-A6UO	6	0	0	87	0	0	0	25	0
