Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-4P-AA8J	17	33	8	8	3	15	6	0	0	54
TCGA-BA-4074	11	9	1	17	54	29	0	0	5	28
TCGA-BA-4075	14	0	1	18	3	6	18	25	0	37
TCGA-BA-4076	8	20	185	0	0	78	0	63	32	15
TCGA-BA-4077	98	115	0	0	2	0	22	61	24	2
TCGA-BA-4078	34	15	250	0	49	90	0	62	51	7
TCGA-BA-5149	0	26	17	19	24	0	0	9	0	34
TCGA-BA-5151	10	1	4	23	26	0	9	8	13	0
TCGA-BA-5152	226	266	0	0	31	0	0	48	0	0
TCGA-BA-5153	4	0	2	13	0	5	0	0	5	13
TCGA-BA-5555	0	8	37	12	2	45	4	0	28	19
TCGA-BA-5556	3	12	0	10	21	56	5	0	22	9
TCGA-BA-5557	5	4	1	7	7	0	3	0	2	1
TCGA-BA-5558	85	46	6	13	14	0	0	6	13	0
TCGA-BA-5559	7	3	2	13	24	0	19	0	0	0
TCGA-BA-6868	25	37	7	7	1	0	36	17	0	41
TCGA-BA-6869	31	35	243	26	0	94	0	81	0	47
TCGA-BA-6870	17	4	11	0	3	0	13	4	0	34
TCGA-BA-6871	21	39	2	2	37	13	0	27	0	15
TCGA-BA-6872	21	20	0	14	11	73	0	3	9	20
TCGA-BA-6873	7	8	3	27	1	9	0	0	7	6
TCGA-BA-7269	4	9	4	18	0	25	26	8	0	2
TCGA-BA-A4IF	9	12	19	15	18	0	0	4	15	8
TCGA-BA-A4IG	24	23	5	0	17	0	0	12	5	45
TCGA-BA-A4IH	4	1	4	12	0	4	9	12	0	2
TCGA-BA-A4II	13	9	22	25	0	0	3	2	0	27
TCGA-BA-A6D8	0	10	10	29	0	33	37	0	0	14
TCGA-BA-A6DA	19	26	339	11	42	8	130	183	13	36
TCGA-BA-A6DB	2	0	3	6	0	0	0	0	0	0
TCGA-BA-A6DD	2	0	2	15	3	7	16	0	0	6
TCGA-BA-A6DE	26	15	13	16	0	0	12	28	5	24
TCGA-BA-A6DG	0	0	2	9	0	0	0	0	2	8
TCGA-BA-A6DI	12	7	27	7	0	0	22	0	26	7
TCGA-BA-A6DJ	54	68	0	61	25	26	0	36	11	3
TCGA-BA-A6DL	10	7	3	4	15	0	53	0	0	0
TCGA-BA-A8YP	22	24	6	18	8	45	31	0	23	4
TCGA-BB-4217	2	0	0	0	6	0	0	0	0	11
TCGA-BB-4223	19	35	0	9	4	0	0	4	17	0
TCGA-BB-4224	20	26	9	30	0	0	0	0	1	7
TCGA-BB-4225	21	0	0	12	40	0	0	0	0	0
TCGA-BB-4227	61	171	0	10	1	6	1	28	16	2
TCGA-BB-4228	5	6	5	10	19	2	0	0	0	0
TCGA-BB-7870	3	6	113	14	12	62	37	45	17	16
TCGA-BB-8596	3	29	3	12	0	0	0	15	23	8
TCGA-BB-8601	5	2	13	14	0	0	0	2	13	23
TCGA-BB-A5HU	75	95	1	1	11	1	1	0	28	0
TCGA-BB-A5HY	44	44	17	0	53	0	25	29	0	27
TCGA-BB-A5HZ	10	0	0	10	0	35	14	2	9	0
TCGA-BB-A6UM	5	0	0	43	1	14	0	0	18	0
TCGA-BB-A6UO	12	1	5	3	41	0	15	0	0	41
TCGA-C9-A47Z	10	1	22	47	0	24	0	16	0	1
TCGA-C9-A480	10	1	1	19	5	3	2	9	10	0
TCGA-CN-4725	1	0	5	18	29	0	6	0	0	0
TCGA-CN-4726	6	4	11	20	11	0	5	7	17	2
TCGA-CN-4727	21	5	206	19	36	18	26	104	49	2
TCGA-CN-4728	14	15	4	2	13	0	26	0	4	5
TCGA-CN-4729	16	20	14	9	38	11	26	0	0	12
TCGA-CN-4730	24	50	4	18	6	29	0	23	9	28
TCGA-CN-4731	15	15	5	28	0	23	13	7	11	14
TCGA-CN-4733	1	0	0	9	0	2	0	0	0	0
TCGA-CN-4734	24	46	18	22	62	0	0	0	3	4
TCGA-CN-4735	54	12	13	13	0	15	0	27	34	1
TCGA-CN-4736	6	1	5	17	0	0	44	0	19	4
TCGA-CN-4737	2	0	3	14	1	13	0	0	17	0
TCGA-CN-4738	16	3	25	7	17	0	8	0	0	8
TCGA-CN-4739	6	8	97	19	20	39	0	12	10	25
TCGA-CN-4740	26	20	0	0	37	9	33	7	0	1
TCGA-CN-4741	22	6	14	31	0	0	24	0	6	13
TCGA-CN-4742	6	0	1	17	8	21	3	10	0	7
TCGA-CN-5355	0	4	19	16	3	64	0	2	0	7
TCGA-CN-5356	11	26	125	25	23	0	22	30	89	46
TCGA-CN-5358	0	1	0	1	0	0	12	0	0	2
TCGA-CN-5359	10	4	22	18	0	3	16	17	14	13
TCGA-CN-5360	27	9	276	11	16	75	100	30	33	2
TCGA-CN-5361	27	14	18	21	0	0	12	11	0	25
TCGA-CN-5363	12	17	59	0	26	75	0	3	8	7
TCGA-CN-5364	22	13	11	0	30	23	12	0	0	28
TCGA-CN-5365	13	0	0	0	2	28	13	17	0	0
TCGA-CN-5366	15	11	2	13	23	9	0	0	8	19
TCGA-CN-5367	1	4	1	7	10	0	17	4	26	19
TCGA-CN-5369	29	65	9	32	59	0	0	0	108	0
