Samples	SBS96A	SBS96B
TCGA-4P-AA8J	8.46E-01	8.46E-01
TCGA-BA-4074	7.65E-01	7.65E-01
TCGA-BA-4075	7.12E-01	7.12E-01
TCGA-BA-4076	8.43E-01	8.44E-01
TCGA-BA-4077	1.14E+00	1.14E+00
TCGA-BA-4078	1.14E+00	1.14E+00
TCGA-BA-5149	7.00E-01	6.99E-01
TCGA-BA-5151	6.90E-01	6.90E-01
TCGA-BA-5152	5.22E-01	5.22E-01
TCGA-BA-5153	3.26E-01	3.26E-01
TCGA-BA-5555	5.38E-01	5.38E-01
TCGA-BA-5556	5.75E-01	5.77E-01
TCGA-BA-5557	3.01E-01	3.01E-01
TCGA-BA-5558	8.14E-01	8.13E-01
TCGA-BA-5559	5.45E-01	5.45E-01
TCGA-BA-6868	9.50E-01	9.50E-01
TCGA-BA-6869	1.14E+00	1.14E+00
TCGA-BA-6870	6.06E-01	6.06E-01
TCGA-BA-6871	9.20E-01	9.20E-01
TCGA-BA-6872	8.31E-01	8.31E-01
TCGA-BA-6873	6.06E-01	6.05E-01
TCGA-BA-7269	4.80E-01	4.77E-01
TCGA-BA-A4IF	5.49E-01	5.49E-01
TCGA-BA-A4IG	8.10E-01	8.10E-01
TCGA-BA-A4IH	4.65E-01	4.65E-01
TCGA-BA-A4II	5.27E-01	5.27E-01
TCGA-BA-A6D8	5.59E-01	5.62E-01
TCGA-BA-A6DA	1.24E+00	1.24E+00
TCGA-BA-A6DB	1.70E-01	1.70E-01
TCGA-BA-A6DD	2.93E-01	2.93E-01
TCGA-BA-A6DE	8.77E-01	8.77E-01
TCGA-BA-A6DG	9.61E-02	9.95E-02
TCGA-BA-A6DI	5.20E-01	5.20E-01
TCGA-BA-A6DJ	1.35E+00	1.35E+00
TCGA-BA-A6DL	5.62E-01	5.62E-01
TCGA-BA-A8YP	1.13E+00	1.13E+00
TCGA-BB-4217	2.10E-01	2.10E-01
TCGA-BB-4223	6.29E-01	6.28E-01
TCGA-BB-4224	7.11E-01	7.12E-01
TCGA-BB-4225	8.75E-01	8.74E-01
TCGA-BB-4227	8.57E-01	8.58E-01
TCGA-BB-4228	5.30E-01	5.30E-01
TCGA-BB-7870	6.66E-01	6.66E-01
TCGA-BB-8596	7.02E-01	7.02E-01
TCGA-BB-8601	4.27E-01	4.27E-01
TCGA-BB-A5HU	7.79E-01	7.79E-01
TCGA-BB-A5HY	1.05E+00	1.05E+00
TCGA-BB-A5HZ	6.10E-01	6.10E-01
TCGA-BB-A6UM	3.65E-01	3.65E-01
TCGA-BB-A6UO	5.91E-01	5.91E-01
TCGA-C9-A47Z	5.82E-01	5.82E-01
TCGA-C9-A480	6.60E-01	6.60E-01
TCGA-CN-4725	3.66E-01	3.66E-01
TCGA-CN-4726	5.75E-01	5.75E-01
TCGA-CN-4727	1.04E+00	1.04E+00
TCGA-CN-4728	5.68E-01	5.68E-01
TCGA-CN-4729	9.42E-01	9.42E-01
TCGA-CN-4730	9.88E-01	9.86E-01
TCGA-CN-4731	7.14E-01	7.14E-01
TCGA-CN-4733	3.31E-01	3.31E-01
TCGA-CN-4734	1.12E+00	1.12E+00
TCGA-CN-4735	9.97E-01	9.97E-01
TCGA-CN-4736	4.65E-01	4.64E-01
TCGA-CN-4737	4.15E-01	4.15E-01
TCGA-CN-4738	5.39E-01	5.38E-01
TCGA-CN-4739	6.35E-01	6.35E-01
TCGA-CN-4740	8.41E-01	8.41E-01
TCGA-CN-4741	8.23E-01	8.23E-01
TCGA-CN-4742	4.57E-01	4.58E-01
TCGA-CN-5355	3.71E-01	3.71E-01
TCGA-CN-5356	9.14E-01	9.14E-01
TCGA-CN-5358	2.77E-01	2.76E-01
TCGA-CN-5359	5.17E-01	5.17E-01
TCGA-CN-5360	9.11E-01	9.11E-01
TCGA-CN-5361	7.39E-01	7.39E-01
TCGA-CN-5363	6.88E-01	6.89E-01
TCGA-CN-5364	7.99E-01	7.99E-01
TCGA-CN-5365	6.40E-01	6.38E-01
TCGA-CN-5366	6.48E-01	6.46E-01
TCGA-CN-5367	4.88E-01	4.89E-01
TCGA-CN-5369	1.48E+00	1.48E+00
TCGA-CN-5370	7.36E-01	7.36E-01
TCGA-CN-5373	6.73E-01	6.73E-01
TCGA-CN-5374	1.03E+00	1.03E+00
TCGA-CN-6010	3.95E-01	3.95E-01
TCGA-CN-6011	1.10E+00	1.10E+00
TCGA-CN-6012	6.24E-01	6.26E-01
TCGA-CN-6013	1.16E+00	1.16E+00
TCGA-CN-6016	7.84E-01	7.84E-01
TCGA-CN-6018	8.74E-01	8.74E-01
TCGA-CN-6019	5.71E-01	5.69E-01
TCGA-CN-6020	7.74E-01	7.74E-01
TCGA-CN-6021	7.79E-01	7.79E-01
TCGA-CN-6022	5.92E-01	5.92E-01
TCGA-CN-6023	6.65E-01	6.64E-01
TCGA-CN-6024	7.00E-01	7.00E-01
TCGA-CN-6988	6.22E-01	6.22E-01
TCGA-CN-6989	7.74E-01	7.74E-01
TCGA-CN-6992	1.05E+00	1.05E+00
TCGA-CN-6994	7.99E-01	7.99E-01
TCGA-CN-6995	8.04E-01	8.04E-01
TCGA-CN-6996	4.84E-01	4.82E-01
TCGA-CN-6997	7.83E-01	7.83E-01
TCGA-CN-6998	8.63E-01	8.62E-01
TCGA-CN-A497	7.71E-01	7.71E-01
TCGA-CN-A498	8.13E-01	8.13E-01
TCGA-CN-A499	3.28E-01	3.28E-01
TCGA-CN-A49A	1.02E+00	1.02E+00
TCGA-CN-A49B	8.03E-01	8.03E-01
TCGA-CN-A49C	5.71E-01	5.70E-01
TCGA-CN-A63T	7.17E-01	7.17E-01
TCGA-CN-A63U	9.56E-01	9.56E-01
TCGA-CN-A63V	6.92E-01	6.90E-01
TCGA-CN-A63W	1.02E+00	1.02E+00
TCGA-CN-A641	6.56E-01	6.58E-01
TCGA-CN-A642	8.08E-01	8.09E-01
TCGA-CN-A6UY	6.67E-01	6.67E-01
TCGA-CN-A6V1	4.63E-01	4.63E-01
TCGA-CN-A6V3	7.80E-01	7.80E-01
TCGA-CN-A6V6	6.01E-01	6.01E-01
TCGA-CN-A6V7	6.54E-01	6.55E-01
TCGA-CQ-5323	4.20E-01	4.20E-01
TCGA-CQ-5324	6.46E-01	6.45E-01
TCGA-CQ-5325	4.05E-01	4.05E-01
TCGA-CQ-5326	1.08E+00	1.08E+00
TCGA-CQ-5327	1.02E+00	1.02E+00
TCGA-CQ-5329	2.44E-01	2.44E-01
TCGA-CQ-5330	4.18E-01	4.18E-01
TCGA-CQ-5331	7.83E-01	7.83E-01
TCGA-CQ-5332	6.93E-01	6.93E-01
TCGA-CQ-5333	1.05E+00	1.05E+00
TCGA-CQ-5334	1.10E+00	1.10E+00
TCGA-CQ-6218	7.90E-01	7.90E-01
TCGA-CQ-6219	5.35E-01	5.35E-01
TCGA-CQ-6220	8.79E-01	8.79E-01
TCGA-CQ-6221	7.01E-01	7.01E-01
TCGA-CQ-6222	3.35E-01	3.37E-01
TCGA-CQ-6223	5.79E-01	5.80E-01
TCGA-CQ-6224	7.46E-01	7.47E-01
TCGA-CQ-6225	7.37E-01	7.37E-01
TCGA-CQ-6227	5.06E-01	5.06E-01
TCGA-CQ-6228	5.88E-01	5.89E-01
TCGA-CQ-6229	2.28E-01	2.28E-01
TCGA-CQ-7063	7.69E-01	7.69E-01
TCGA-CQ-7065	4.41E-01	4.41E-01
TCGA-CQ-7068	8.48E-01	8.47E-01
TCGA-CQ-7069	5.80E-01	5.79E-01
TCGA-CQ-7071	1.25E+00	1.25E+00
TCGA-CQ-7072	4.61E-01	4.61E-01
TCGA-CQ-A4C6	9.73E-01	9.73E-01
TCGA-CQ-A4C7	4.90E-01	4.90E-01
TCGA-CQ-A4C9	6.55E-01	6.56E-01
TCGA-CQ-A4CB	6.94E-01	6.93E-01
TCGA-CQ-A4CD	8.49E-01	8.50E-01
TCGA-CQ-A4CE	5.29E-01	5.28E-01
TCGA-CQ-A4CG	5.92E-01	5.92E-01
TCGA-CQ-A4CH	5.70E-02	5.70E-02
TCGA-CQ-A4CI	5.97E-01	5.97E-01
TCGA-CR-5243	5.20E-01	5.19E-01
TCGA-CR-5247	4.24E-01	4.26E-01
TCGA-CR-5248	1.07E+00	1.07E+00
TCGA-CR-5249	4.41E-01	4.41E-01
TCGA-CR-5250	3.81E-01	3.81E-01
TCGA-CR-6467	6.47E-01	6.49E-01
TCGA-CR-6470	4.90E-01	4.92E-01
TCGA-CR-6471	8.21E-01	8.19E-01
TCGA-CR-6472	1.19E+00	1.19E+00
TCGA-CR-6473	7.72E-01	7.72E-01
TCGA-CR-6474	6.60E-01	6.60E-01
TCGA-CR-6477	4.98E-01	4.98E-01
TCGA-CR-6478	8.77E-01	8.76E-01
TCGA-CR-6480	6.69E-01	6.69E-01
TCGA-CR-6481	5.14E-01	5.14E-01
TCGA-CR-6482	5.08E-01	5.08E-01
TCGA-CR-6484	8.07E-01	8.08E-01
TCGA-CR-6487	8.94E-01	8.94E-01
TCGA-CR-6488	2.72E-01	2.71E-01
TCGA-CR-6491	5.45E-01	5.46E-01
TCGA-CR-6492	4.61E-01	4.61E-01
TCGA-CR-6493	3.49E-01	3.50E-01
TCGA-CR-7364	1.16E+00	1.16E+00
TCGA-CR-7365	1.12E+00	1.12E+00
TCGA-CR-7367	9.14E-01	9.14E-01
TCGA-CR-7368	1.02E+00	1.02E+00
TCGA-CR-7369	5.10E-01	5.10E-01
TCGA-CR-7370	1.33E+00	1.33E+00
TCGA-CR-7371	1.16E+00	1.16E+00
TCGA-CR-7372	2.01E-01	2.02E-01
TCGA-CR-7373	6.49E-01	6.49E-01
TCGA-CR-7374	1.16E+00	1.16E+00
TCGA-CR-7376	5.04E-01	5.04E-01
TCGA-CR-7377	7.91E-01	7.91E-01
TCGA-CR-7379	7.55E-01	7.55E-01
TCGA-CR-7380	9.17E-01	9.16E-01
TCGA-CR-7382	7.44E-01	7.44E-01
TCGA-CR-7383	7.46E-01	7.46E-01
TCGA-CR-7385	4.75E-01	4.75E-01
TCGA-CR-7386	7.00E-02	7.00E-02
TCGA-CR-7388	1.73E+00	1.73E+00
TCGA-CR-7389	1.49E-01	1.49E-01
TCGA-CR-7390	8.49E-01	8.49E-01
TCGA-CR-7391	7.89E-02	7.89E-02
TCGA-CR-7392	1.87E-01	1.87E-01
TCGA-CR-7394	9.28E-01	9.29E-01
TCGA-CR-7395	8.72E-01	8.72E-01
TCGA-CR-7397	5.09E-01	5.08E-01
TCGA-CR-7398	9.56E-01	9.56E-01
TCGA-CR-7399	9.84E-01	9.84E-01
TCGA-CR-7401	7.95E-01	7.95E-01
TCGA-CR-7404	5.60E-01	5.60E-01
TCGA-CV-5430	9.83E-01	9.83E-01
TCGA-CV-5432	7.68E-01	7.68E-01
