Samples	SBS96A	SBS96B	SBS96C
TCGA-4P-AA8J	61	47	36
TCGA-BA-4074	26	28	100
TCGA-BA-4075	17	44	61
TCGA-BA-4076	35	356	10
TCGA-BA-4077	259	61	4
TCGA-BA-4078	61	443	54
TCGA-BA-5149	30	43	56
TCGA-BA-5151	12	14	68
TCGA-BA-5152	562	9	0
TCGA-BA-5153	3	7	32
TCGA-BA-5555	8	98	49
TCGA-BA-5556	19	52	67
TCGA-BA-5557	9	2	19
TCGA-BA-5558	141	1	41
TCGA-BA-5559	11	10	47
TCGA-BA-6868	79	61	31
TCGA-BA-6869	76	439	42
TCGA-BA-6870	27	41	18
TCGA-BA-6871	79	41	36
TCGA-BA-6872	55	48	68
TCGA-BA-6873	12	3	53
TCGA-BA-7269	15	38	43
TCGA-BA-A4IF	22	32	46
TCGA-BA-A4IG	61	38	32
TCGA-BA-A4IH	6	18	24
TCGA-BA-A4II	20	35	46
TCGA-BA-A6D8	9	55	69
TCGA-BA-A6DA	66	674	67
TCGA-BA-A6DB	1	1	9
TCGA-BA-A6DD	1	13	37
TCGA-BA-A6DE	48	49	42
TCGA-BA-A6DG	0	3	18
TCGA-BA-A6DI	20	57	31
TCGA-BA-A6DJ	134	14	136
TCGA-BA-A6DL	21	36	35
TCGA-BA-A8YP	53	55	73
TCGA-BB-4217	2	5	12
TCGA-BB-4223	62	4	22
TCGA-BB-4224	44	4	45
TCGA-BB-4225	20	0	53
TCGA-BB-4227	274	22	0
TCGA-BB-4228	11	6	30
TCGA-BB-7870	13	253	59
TCGA-BB-8596	38	24	31
TCGA-BB-8601	6	29	37
TCGA-BB-A5HU	191	7	15
TCGA-BB-A5HY	112	78	49
TCGA-BB-A5HZ	12	27	41
TCGA-BB-A6UM	0	0	81
TCGA-BB-A6UO	19	35	64
TCGA-C9-A47Z	7	33	81
TCGA-C9-A480	10	4	46
TCGA-CN-4725	0	5	54
TCGA-CN-4726	10	23	50
TCGA-CN-4727	35	374	77
TCGA-CN-4728	33	24	26
TCGA-CN-4729	44	45	57
TCGA-CN-4730	92	47	52
TCGA-CN-4731	31	31	69
TCGA-CN-4733	0	0	12
TCGA-CN-4734	77	22	80
TCGA-CN-4735	75	43	51
TCGA-CN-4736	6	34	56
TCGA-CN-4737	2	11	37
TCGA-CN-4738	21	36	27
TCGA-CN-4739	15	168	53
TCGA-CN-4740	61	28	44
TCGA-CN-4741	28	25	63
TCGA-CN-4742	7	19	47
TCGA-CN-5355	4	66	45
TCGA-CN-5356	39	249	109
TCGA-CN-5358	2	9	5
TCGA-CN-5359	15	56	46
TCGA-CN-5360	40	482	57
TCGA-CN-5361	44	36	48
TCGA-CN-5363	37	139	31
TCGA-CN-5364	45	53	41
TCGA-CN-5365	20	34	19
TCGA-CN-5366	30	13	57
TCGA-CN-5367	7	33	49
TCGA-CN-5369	108	40	154
TCGA-CN-5370	37	7	55
TCGA-CN-5373	26	33	103
TCGA-CN-5374	100	4	65
TCGA-CN-6010	2	57	59
TCGA-CN-6011	345	21	33
TCGA-CN-6012	32	50	26
TCGA-CN-6013	129	0	67
TCGA-CN-6016	45	19	59
TCGA-CN-6018	37	2	67
TCGA-CN-6019	17	71	46
TCGA-CN-6020	29	28	64
TCGA-CN-6021	43	230	45
TCGA-CN-6022	29	23	30
TCGA-CN-6023	40	32	33
TCGA-CN-6024	17	88	83
TCGA-CN-6988	10	113	55
TCGA-CN-6989	36	31	47
TCGA-CN-6992	35	201	153
TCGA-CN-6994	46	42	37
TCGA-CN-6995	26	153	68
TCGA-CN-6996	19	4	29
TCGA-CN-6997	44	58	52
TCGA-CN-6998	31	0	67
TCGA-CN-A497	27	349	26
TCGA-CN-A498	57	32	38
TCGA-CN-A499	1	0	32
TCGA-CN-A49A	57	34	45
TCGA-CN-A49B	36	17	59
TCGA-CN-A49C	10	0	42
TCGA-CN-A63T	26	202	60
TCGA-CN-A63U	29	506	85
TCGA-CN-A63V	1	9	80
TCGA-CN-A63W	47	352	59
TCGA-CN-A641	26	182	38
TCGA-CN-A642	23	0	60
TCGA-CN-A6UY	4	12	30
TCGA-CN-A6V1	84	0	24
TCGA-CN-A6V3	27	189	49
