Samples	SBS96A	SBS96B	SBS96C
TCGA-4P-AA8J	7.59E-01	1.05E+00	1.17E+00
TCGA-BA-4074	6.53E-01	8.32E-01	1.09E+00
TCGA-BA-4075	5.48E-01	1.05E+00	1.06E+00
TCGA-BA-4076	7.96E-01	1.43E+00	1.19E+00
TCGA-BA-4077	1.20E+00	1.43E+00	1.50E+00
TCGA-BA-4078	1.24E+00	2.14E+00	2.10E+00
TCGA-BA-5149	5.88E-01	8.24E-01	8.02E-01
TCGA-BA-5151	5.89E-01	7.41E-01	9.00E-01
TCGA-BA-5152	7.83E-01	7.23E-01	3.47E-01
TCGA-BA-5153	2.32E-01	5.08E-01	5.57E-01
TCGA-BA-5555	5.12E-01	1.06E+00	1.06E+00
TCGA-BA-5556	5.48E-01	1.14E+00	1.17E+00
TCGA-BA-5557	2.79E-01	3.74E-01	4.51E-01
TCGA-BA-5558	9.12E-01	4.68E-01	9.14E-01
TCGA-BA-5559	4.61E-01	6.41E-01	6.94E-01
TCGA-BA-6868	8.30E-01	1.14E+00	1.17E+00
TCGA-BA-6869	9.06E-01	2.27E+00	2.18E+00
TCGA-BA-6870	4.93E-01	8.56E-01	8.85E-01
TCGA-BA-6871	7.80E-01	9.86E-01	1.08E+00
TCGA-BA-6872	7.98E-01	1.13E+00	1.34E+00
TCGA-BA-6873	4.48E-01	4.84E-01	6.26E-01
TCGA-BA-7269	5.32E-01	9.62E-01	9.93E-01
TCGA-BA-A4IF	6.14E-01	6.76E-01	7.34E-01
TCGA-BA-A4IG	6.68E-01	1.24E+00	1.32E+00
TCGA-BA-A4IH	3.89E-01	5.64E-01	5.72E-01
TCGA-BA-A4II	5.28E-01	8.34E-01	8.58E-01
TCGA-BA-A6D8	5.33E-01	8.54E-01	8.48E-01
TCGA-BA-A6DA	1.28E+00	2.73E+00	2.62E+00
TCGA-BA-A6DB	1.01E-01	2.20E-01	2.48E-01
TCGA-BA-A6DD	1.61E-01	5.94E-01	6.34E-01
TCGA-BA-A6DE	7.44E-01	1.00E+00	9.98E-01
TCGA-BA-A6DG	1.00E-02	3.06E-01	3.06E-01
TCGA-BA-A6DI	5.93E-01	8.71E-01	9.47E-01
TCGA-BA-A6DJ	1.17E+00	7.17E-01	1.13E+00
TCGA-BA-A6DL	5.30E-01	8.23E-01	8.27E-01
TCGA-BA-A8YP	9.80E-01	1.12E+00	1.24E+00
TCGA-BB-4217	8.84E-02	2.97E-01	3.05E-01
TCGA-BB-4223	5.45E-01	4.51E-01	5.82E-01
TCGA-BB-4224	5.99E-01	5.67E-01	6.71E-01
TCGA-BB-4225	6.52E-01	0.00E+00	6.53E-01
TCGA-BB-4227	9.13E-01	5.98E-01	1.01E+00
TCGA-BB-4228	4.23E-01	4.08E-01	5.50E-01
TCGA-BB-7870	6.85E-01	1.53E+00	1.66E+00
TCGA-BB-8596	6.16E-01	7.01E-01	8.40E-01
TCGA-BB-8601	3.52E-01	7.82E-01	7.67E-01
TCGA-BB-A5HU	8.40E-01	7.80E-01	8.16E-01
TCGA-BB-A5HY	1.07E+00	1.50E+00	1.61E+00
TCGA-BB-A5HZ	5.32E-01	8.72E-01	9.12E-01
TCGA-BB-A6UM	3.00E-02	7.39E-02	7.95E-02
TCGA-BB-A6UO	4.85E-01	9.45E-01	1.11E+00
TCGA-C9-A47Z	4.67E-01	7.99E-01	8.33E-01
TCGA-C9-A480	5.37E-01	4.79E-01	5.77E-01
TCGA-CN-4725	9.59E-02	4.90E-01	4.87E-01
TCGA-CN-4726	5.04E-01	6.87E-01	6.74E-01
TCGA-CN-4727	8.98E-01	2.05E+00	1.85E+00
TCGA-CN-4728	6.10E-01	6.57E-01	8.25E-01
TCGA-CN-4729	7.84E-01	8.22E-01	9.86E-01
TCGA-CN-4730	1.06E+00	1.07E+00	1.31E+00
TCGA-CN-4731	6.33E-01	9.85E-01	1.03E+00
TCGA-CN-4733	1.11E-01	1.25E-01	1.71E-01
TCGA-CN-4734	1.09E+00	6.77E-01	1.06E+00
TCGA-CN-4735	8.88E-01	9.81E-01	1.11E+00
TCGA-CN-4736	3.33E-01	8.64E-01	8.87E-01
TCGA-CN-4737	2.50E-01	5.11E-01	4.88E-01
TCGA-CN-4738	5.82E-01	7.81E-01	8.11E-01
TCGA-CN-4739	6.17E-01	1.23E+00	1.24E+00
TCGA-CN-4740	9.48E-01	8.99E-01	1.07E+00
TCGA-CN-4741	6.42E-01	8.57E-01	9.49E-01
TCGA-CN-4742	4.01E-01	7.88E-01	7.44E-01
TCGA-CN-5355	2.81E-01	9.31E-01	9.32E-01
TCGA-CN-5356	8.49E-01	1.92E+00	1.68E+00
TCGA-CN-5358	2.98E-01	3.60E-01	3.33E-01
TCGA-CN-5359	5.12E-01	8.24E-01	8.65E-01
TCGA-CN-5360	1.03E+00	2.14E+00	2.21E+00
TCGA-CN-5361	9.29E-01	8.69E-01	8.23E-01
TCGA-CN-5363	7.90E-01	1.20E+00	1.27E+00
TCGA-CN-5364	6.70E-01	1.01E+00	1.10E+00
TCGA-CN-5365	5.57E-01	8.97E-01	8.70E-01
TCGA-CN-5366	6.64E-01	5.41E-01	7.74E-01
TCGA-CN-5367	3.96E-01	8.28E-01	8.61E-01
TCGA-CN-5369	1.18E+00	9.06E-01	1.33E+00
TCGA-CN-5370	6.22E-01	5.70E-01	7.69E-01
TCGA-CN-5373	6.42E-01	8.91E-01	1.12E+00
TCGA-CN-5374	8.58E-01	4.96E-01	9.03E-01
TCGA-CN-6010	3.65E-01	9.46E-01	9.43E-01
TCGA-CN-6011	1.22E+00	1.11E+00	1.42E+00
TCGA-CN-6012	6.31E-01	9.13E-01	9.31E-01
TCGA-CN-6013	8.88E-01	2.16E-01	8.92E-01
TCGA-CN-6016	6.98E-01	6.87E-01	8.62E-01
TCGA-CN-6018	6.47E-01	5.34E-01	7.85E-01
TCGA-CN-6019	5.23E-01	1.11E+00	1.20E+00
TCGA-CN-6020	6.84E-01	8.02E-01	9.74E-01
TCGA-CN-6021	9.95E-01	1.54E+00	1.63E+00
TCGA-CN-6022	6.12E-01	7.10E-01	7.86E-01
TCGA-CN-6023	5.85E-01	9.31E-01	9.14E-01
TCGA-CN-6024	6.00E-01	1.48E+00	1.47E+00
TCGA-CN-6988	5.11E-01	1.21E+00	1.19E+00
TCGA-CN-6989	6.30E-01	7.35E-01	9.48E-01
TCGA-CN-6992	9.29E-01	1.61E+00	1.58E+00
TCGA-CN-6994	8.13E-01	7.81E-01	8.86E-01
TCGA-CN-6995	7.22E-01	1.29E+00	1.45E+00
TCGA-CN-6996	4.94E-01	4.10E-01	6.26E-01
TCGA-CN-6997	7.22E-01	1.15E+00	1.16E+00
TCGA-CN-6998	6.47E-01	3.81E-01	6.60E-01
TCGA-CN-A497	7.30E-01	1.64E+00	1.67E+00
TCGA-CN-A498	6.68E-01	9.34E-01	9.69E-01
TCGA-CN-A499	1.99E-01	1.88E-01	2.63E-01
TCGA-CN-A49A	8.27E-01	8.01E-01	9.09E-01
TCGA-CN-A49B	7.62E-01	6.87E-01	9.64E-01
TCGA-CN-A49C	4.06E-01	1.25E-01	4.36E-01
TCGA-CN-A63T	8.67E-01	1.34E+00	1.45E+00
TCGA-CN-A63U	8.66E-01	2.38E+00	2.27E+00
TCGA-CN-A63V	3.90E-01	8.24E-01	8.71E-01
TCGA-CN-A63W	1.02E+00	1.86E+00	1.77E+00
TCGA-CN-A641	7.19E-01	1.38E+00	1.38E+00
TCGA-CN-A642	5.06E-01	2.90E-01	5.48E-01
TCGA-CN-A6UY	4.05E-01	5.49E-01	6.01E-01
TCGA-CN-A6V1	6.51E-01	2.20E-01	6.78E-01
TCGA-CN-A6V3	7.19E-01	1.13E+00	1.15E+00
TCGA-CN-A6V6	5.65E-01	5.59E-01	7.76E-01
TCGA-CN-A6V7	5.49E-01	2.15E-01	6.00E-01
TCGA-CQ-5323	2.71E-01	4.74E-01	5.44E-01
TCGA-CQ-5324	5.06E-01	3.46E-01	5.79E-01
TCGA-CQ-5325	3.36E-01	7.14E-01	7.09E-01
TCGA-CQ-5326	1.02E+00	7.78E-01	1.16E+00
TCGA-CQ-5327	1.06E+00	4.30E-01	1.13E+00
TCGA-CQ-5329	7.02E-02	3.38E-01	3.60E-01
TCGA-CQ-5330	2.32E-01	3.48E-01	4.34E-01
TCGA-CQ-5331	8.03E-01	7.76E-01	7.67E-01
TCGA-CQ-5332	5.96E-01	1.07E+00	1.21E+00
TCGA-CQ-5333	1.10E+00	7.73E-01	1.11E+00
TCGA-CQ-5334	1.01E+00	7.60E-01	1.08E+00
TCGA-CQ-6218	8.49E-01	8.81E-01	1.07E+00
