NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	80.2	67.269	12.339	50.936	4.534	0.774	40000.0
2	80.261	67.364	12.345	50.998	2.511	0.774	20000.0
3	80.451	67.584	12.353	50.978	4.532	0.774	30000.0
4	80.266	67.243	12.317	50.81	2.511	0.775	20000.0
5	80.303	67.353	12.37	50.995	4.529	0.775	40000.0
6	79.981	67.063	12.311	50.832	8.577	0.774	50000.0
7	80.501	67.526	12.393	51.14	2.51	0.773	20000.0
8	80.433	67.43	12.356	50.938	4.531	0.775	20000.0
9	80.505	67.541	12.34	50.927	4.545	0.775	20000.0
10	80.448	67.741	12.374	51.134	4.533	0.773	30000.0
11	80.267	67.232	12.34	50.966	8.586	0.774	40000.0
12	80.269	67.44	12.343	51.046	10.614	0.774	20000.0
13	80.234	67.257	12.321	50.859	4.528	0.775	20000.0
14	80.316	67.364	12.353	50.986	4.535	0.774	30000.0
15	80.113	67.081	12.326	50.884	6.562	0.775	30000.0
16	80.213	67.139	12.305	50.779	6.558	0.775	20000.0
17	80.412	67.477	12.357	51.095	14.65	0.773	30000.0
18	80.353	67.371	12.332	50.948	4.538	0.775	40000.0
19	80.275	67.468	12.35	50.976	8.579	0.775	50000.0
20	80.244	67.238	12.313	50.804	4.536	0.775	40000.0
21	80.38	67.615	12.316	50.887	4.528	0.776	40000.0
22	80.191	67.351	12.329	50.913	2.513	0.774	20000.0
23	80.254	67.474	12.341	50.963	2.509	0.775	40000.0
24	80.279	67.249	12.34	50.88	2.509	0.775	20000.0
25	80.417	67.383	12.392	51.087	14.66	0.774	30000.0
26	80.055	67.152	12.335	50.904	4.531	0.775	20000.0
27	80.419	67.584	12.328	51.034	6.554	0.773	30000.0
28	80.481	67.613	12.361	50.999	4.636	0.774	40000.0
29	80.465	67.446	12.37	51.049	4.534	0.774	50000.0
30	80.071	67.032	12.281	50.621	6.553	0.776	20000.0
31	80.266	67.286	12.324	50.894	6.562	0.774	30000.0
32	80.153	67.262	12.323	50.832	10.603	0.775	20000.0
33	80.46	67.442	12.346	50.948	2.508	0.774	30000.0
34	80.259	67.148	12.325	50.751	0.486	0.776	20000.0
35	80.19	67.286	12.33	50.906	4.535	0.775	30000.0
36	80.348	67.445	12.345	50.943	0.49	0.775	30000.0
37	80.329	67.435	12.333	50.983	10.599	0.775	30000.0
38	80.439	67.505	12.347	51.105	4.533	0.773	40000.0
39	80.269	67.361	12.375	51.061	0.487	0.774	20000.0
40	80.277	67.351	12.323	50.918	8.586	0.775	20000.0
41	80.357	67.262	12.335	50.932	10.602	0.774	50000.0
42	80.324	67.325	12.354	51.02	4.53	0.774	20000.0
43	80.45	67.699	12.364	51.121	10.602	0.774	50000.0
44	80.496	67.659	12.358	51.116	6.557	0.773	30000.0
45	80.339	67.349	12.334	50.956	6.561	0.774	40000.0
46	80.307	67.426	12.342	51.056	6.549	0.774	20000.0
47	80.513	67.341	12.382	51.066	10.606	0.774	40000.0
48	80.315	67.198	12.374	50.967	8.58	0.774	20000.0
49	80.345	67.409	12.345	50.961	10.597	0.775	20000.0
50	80.081	67.012	12.304	50.817	0.488	0.775	30000.0
51	80.296	67.288	12.343	50.944	6.553	0.774	50000.0
52	80.166	67.279	12.296	50.787	0.487	0.776	60000.0
53	80.433	67.471	12.36	51.064	8.579	0.774	20000.0
54	80.289	67.262	12.358	50.907	2.512	0.775	40000.0
55	80.162	67.081	12.312	50.723	4.534	0.776	20000.0
56	80.292	67.342	12.337	50.905	6.555	0.775	20000.0
57	80.405	67.513	12.347	50.992	8.576	0.775	40000.0
58	80.354	67.397	12.352	51.016	6.552	0.774	20000.0
59	80.349	67.539	12.373	51.073	10.602	0.773	20000.0
60	80.153	67.177	12.327	50.904	10.6	0.775	30000.0
61	80.315	67.174	12.319	50.781	6.553	0.775	20000.0
62	80.295	67.36	12.339	50.888	2.509	0.775	30000.0
63	80.26	67.135	12.347	50.873	6.552	0.774	30000.0
64	80.204	67.359	12.355	51.023	4.535	0.774	40000.0
65	80.159	67.153	12.325	50.851	2.509	0.774	30000.0
66	80.331	67.173	12.352	50.915	4.538	0.774	20000.0
67	80.117	67.16	12.359	51.05	10.606	0.774	20000.0
68	80.315	67.224	12.344	50.938	6.563	0.774	30000.0
69	80.382	67.43	12.352	50.948	2.521	0.775	20000.0
70	80.302	67.296	12.347	50.911	4.537	0.775	40000.0
71	80.279	67.275	12.336	50.863	6.555	0.774	40000.0
72	80.087	66.882	12.302	50.718	8.577	0.776	30000.0
73	80.346	67.309	12.361	50.962	6.587	0.774	20000.0
74	80.397	67.625	12.353	51.009	10.602	0.772	30000.0
75	80.377	67.263	12.344	50.975	8.576	0.774	20000.0
76	80.34	67.352	12.343	50.914	2.507	0.774	40000.0
77	80.359	67.275	12.309	50.754	2.507	0.775	30000.0
78	80.323	67.484	12.329	50.907	2.511	0.775	20000.0
79	80.412	67.551	12.357	51.041	6.559	0.774	40000.0
80	80.022	67.054	12.278	50.656	4.528	0.777	30000.0
81	80.354	67.236	12.319	50.85	2.509	0.776	70000.0
82	80.419	67.54	12.333	50.998	6.56	0.774	30000.0
83	80.234	67.144	12.317	50.778	0.487	0.775	40000.0
84	80.269	67.39	12.338	50.981	2.513	0.773	30000.0
85	80.188	67.254	12.325	50.931	4.534	0.774	40000.0
86	80.443	67.47	12.341	50.985	12.626	0.774	20000.0
87	80.377	67.257	12.348	50.927	6.563	0.774	30000.0
88	80.268	67.273	12.32	50.848	2.507	0.775	20000.0
89	80.23	67.236	12.319	50.86	2.508	0.775	40000.0
90	80.413	67.304	12.34	50.897	2.513	0.772	40000.0
91	80.266	66.966	12.333	50.818	6.561	0.775	20000.0
92	80.352	67.365	12.337	51.011	2.509	0.774	40000.0
93	80.253	67.481	12.342	51.057	4.541	0.774	20000.0
94	80.275	67.328	12.326	50.827	2.518	0.776	30000.0
95	80.309	67.325	12.345	50.871	4.531	0.774	30000.0
96	80.353	67.362	12.329	50.829	6.554	0.775	20000.0
97	80.211	67.37	12.332	50.975	8.585	0.774	40000.0
98	80.442	67.333	12.369	50.966	4.529	0.774	20000.0
99	80.392	67.432	12.376	51.113	6.596	0.774	30000.0
100	80.417	67.338	12.366	50.999	10.6	0.774	20000.0
