Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-4P-AA8J	48	5	6	85
TCGA-BA-4074	19	5	59	71
TCGA-BA-4075	12	14	30	66
TCGA-BA-4076	33	301	2	65
TCGA-BA-4077	245	37	4	38
TCGA-BA-4078	58	393	41	66
TCGA-BA-5149	26	22	32	49
TCGA-BA-5151	11	16	56	11
TCGA-BA-5152	545	10	16	0
TCGA-BA-5153	2	1	20	19
TCGA-BA-5555	5	63	24	63
TCGA-BA-5556	15	28	41	54
TCGA-BA-5557	9	1	15	5
TCGA-BA-5558	137	6	40	0
TCGA-BA-5559	10	10	37	11
TCGA-BA-6868	66	22	8	75
TCGA-BA-6869	71	366	24	96
TCGA-BA-6870	20	12	1	53
TCGA-BA-6871	71	19	21	45
TCGA-BA-6872	44	10	32	85
TCGA-BA-6873	11	4	43	10
TCGA-BA-7269	13	27	30	26
TCGA-BA-A4IF	21	27	34	18
TCGA-BA-A4IG	49	5	8	69
TCGA-BA-A4IH	5	15	18	10
TCGA-BA-A4II	17	21	28	35
TCGA-BA-A6D8	6	34	43	50
TCGA-BA-A6DA	62	593	51	101
TCGA-BA-A6DB	1	2	8	0
TCGA-BA-A6DD	0	8	26	17
TCGA-BA-A6DE	43	31	26	39
TCGA-BA-A6DG	0	0	11	10
TCGA-BA-A6DI	18	42	19	29
TCGA-BA-A6DJ	132	18	112	22
TCGA-BA-A6DL	19	26	23	24
TCGA-BA-A8YP	47	36	48	50
TCGA-BB-4217	1	0	3	15
TCGA-BB-4223	60	4	19	5
TCGA-BB-4224	44	6	39	4
TCGA-BB-4225	21	0	49	3
TCGA-BB-4227	269	15	0	12
TCGA-BB-4228	11	9	27	0
TCGA-BB-7870	9	211	38	67
TCGA-BB-8596	36	15	20	22
TCGA-BB-8601	4	11	17	40
TCGA-BB-A5HU	184	7	17	5
TCGA-BB-A5HY	101	43	26	69
TCGA-BB-A5HZ	11	21	31	17
TCGA-BB-A6UM	0	0	74	7
TCGA-BB-A6UO	13	5	29	71
TCGA-C9-A47Z	7	41	72	1
TCGA-C9-A480	10	9	41	0
TCGA-CN-4725	0	10	48	1
TCGA-CN-4726	9	24	43	7
TCGA-CN-4727	34	349	68	35
TCGA-CN-4728	29	15	16	23
TCGA-CN-4729	40	32	39	35
TCGA-CN-4730	82	21	28	60
TCGA-CN-4731	28	19	48	36
TCGA-CN-4733	0	0	12	0
TCGA-CN-4734	77	26	66	10
TCGA-CN-4735	71	36	40	22
TCGA-CN-4736	4	23	37	32
TCGA-CN-4737	1	11	30	8
TCGA-CN-4738	19	30	20	15
TCGA-CN-4739	13	140	38	45
TCGA-CN-4740	55	15	29	34
TCGA-CN-4741	26	21	46	23
TCGA-CN-4742	5	12	33	23
TCGA-CN-5355	2	50	30	33
TCGA-CN-5356	33	192	68	104
TCGA-CN-5358	1	3	2	10
TCGA-CN-5359	12	44	32	29
TCGA-CN-5360	38	436	45	60
TCGA-CN-5361	39	22	30	37
TCGA-CN-5363	33	104	16	54
TCGA-CN-5364	37	24	18	60
TCGA-CN-5365	17	18	9	29
TCGA-CN-5366	26	2	35	37
TCGA-CN-5367	4	12	25	48
TCGA-CN-5369	107	45	130	20
TCGA-CN-5370	35	6	43	15
TCGA-CN-5373	21	17	68	56
TCGA-CN-5374	97	6	55	11
TCGA-CN-6010	0	43	40	35
TCGA-CN-6011	324	5	25	45
TCGA-CN-6012	28	34	14	32
TCGA-CN-6013	130	0	62	4
TCGA-CN-6016	37	0	33	53
TCGA-CN-6018	35	3	52	16
TCGA-CN-6019	14	47	27	46
TCGA-CN-6020	26	20	45	30
TCGA-CN-6021	40	190	29	59
TCGA-CN-6022	28	20	24	10
TCGA-CN-6023	34	15	17	39
TCGA-CN-6024	11	46	42	89
TCGA-CN-6988	9	102	44	23
TCGA-CN-6989	30	13	25	46
TCGA-CN-6992	34	210	137	8
TCGA-CN-6994	46	41	33	5
TCGA-CN-6995	21	116	42	68
TCGA-CN-6996	18	3	22	9
TCGA-CN-6997	38	30	27	59
TCGA-CN-6998	33	0	59	6
TCGA-CN-A497	24	300	15	63
TCGA-CN-A498	50	17	23	37
TCGA-CN-A499	0	0	33	0
TCGA-CN-A49A	55	27	34	20
