Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-4P-AA8J	8.54E-01	7.35E-01	1.24E+00	1.52E+00
TCGA-BA-4074	6.73E-01	5.84E-01	1.46E+00	1.54E+00
TCGA-BA-4075	6.08E-01	9.81E-01	1.15E+00	1.55E+00
TCGA-BA-4076	8.30E-01	1.93E+00	7.69E-01	2.04E+00
TCGA-BA-4077	2.49E+00	1.23E+00	1.32E+00	2.04E+00
TCGA-BA-4078	1.37E+00	2.50E+00	1.91E+00	2.15E+00
TCGA-BA-5149	6.76E-01	7.18E-01	1.04E+00	1.25E+00
TCGA-BA-5151	5.74E-01	7.57E-01	8.60E-01	7.68E-01
TCGA-BA-5152	5.41E+00	7.57E-01	1.17E+00	5.69E+00
TCGA-BA-5153	2.14E-01	4.31E-01	5.30E-01	6.21E-01
TCGA-BA-5555	4.93E-01	1.22E+00	1.24E+00	1.88E+00
TCGA-BA-5556	5.60E-01	1.22E+00	1.27E+00	1.76E+00
TCGA-BA-5557	2.75E-01	3.43E-01	4.51E-01	3.31E-01
TCGA-BA-5558	1.64E+00	4.94E-01	1.05E+00	1.87E+00
TCGA-BA-5559	4.58E-01	6.82E-01	7.05E-01	7.36E-01
TCGA-BA-6868	1.01E+00	1.14E+00	1.19E+00	1.83E+00
TCGA-BA-6869	1.06E+00	3.05E+00	1.56E+00	2.60E+00
TCGA-BA-6870	5.52E-01	7.83E-01	6.35E-01	1.06E+00
TCGA-BA-6871	1.05E+00	8.54E-01	1.04E+00	1.02E+00
TCGA-BA-6872	9.79E-01	4.47E-01	1.82E+00	1.65E+00
TCGA-BA-6873	4.40E-01	4.10E-01	6.49E-01	6.52E-01
TCGA-BA-7269	5.29E-01	9.63E-01	9.20E-01	1.15E+00
TCGA-BA-A4IF	6.36E-01	7.37E-01	7.52E-01	8.78E-01
TCGA-BA-A4IG	7.58E-01	8.10E-01	1.08E+00	1.30E+00
TCGA-BA-A4IH	3.71E-01	7.19E-01	6.11E-01	7.74E-01
TCGA-BA-A4II	5.44E-01	9.13E-01	8.15E-01	1.14E+00
TCGA-BA-A6D8	5.34E-01	8.82E-01	1.08E+00	1.51E+00
TCGA-BA-A6DA	1.31E+00	3.16E+00	2.05E+00	2.92E+00
TCGA-BA-A6DB	9.08E-02	2.35E-01	2.29E-01	1.51E-01
TCGA-BA-A6DD	1.34E-01	5.71E-01	6.03E-01	8.28E-01
TCGA-BA-A6DE	8.52E-01	1.04E+00	9.09E-01	1.13E+00
TCGA-BA-A6DG	0.00E+00	2.73E-01	3.91E-01	3.80E-01
TCGA-BA-A6DI	6.49E-01	9.31E-01	8.44E-01	1.08E+00
TCGA-BA-A6DJ	1.66E+00	7.40E-01	1.11E+00	1.42E+00
TCGA-BA-A6DL	5.45E-01	1.04E+00	7.22E-01	1.07E+00
TCGA-BA-A8YP	1.11E+00	1.14E+00	1.41E+00	1.55E+00
TCGA-BB-4217	1.18E-01	1.38E-01	4.02E-01	4.30E-01
TCGA-BB-4223	6.87E-01	4.15E-01	5.49E-01	6.38E-01
TCGA-BB-4224	6.19E-01	6.18E-01	6.30E-01	6.35E-01
TCGA-BB-4225	7.12E-01	6.97E-02	8.22E-01	7.56E-01
TCGA-BB-4227	2.25E+00	3.68E-01	9.40E-01	1.88E+00
TCGA-BB-4228	4.27E-01	4.31E-01	5.46E-01	3.44E-01
TCGA-BB-7870	6.89E-01	2.00E+00	1.38E+00	2.24E+00
TCGA-BB-8596	7.52E-01	5.40E-01	8.71E-01	7.61E-01
TCGA-BB-8601	3.80E-01	6.61E-01	7.34E-01	1.01E+00
TCGA-BB-A5HU	1.73E+00	7.18E-01	8.87E-01	1.72E+00
TCGA-BB-A5HY	1.26E+00	1.61E+00	1.33E+00	1.57E+00
TCGA-BB-A5HZ	5.12E-01	1.02E+00	7.82E-01	1.03E+00
TCGA-BB-A6UM	1.00E-02	9.40E-02	8.72E-01	8.88E-01
TCGA-BB-A6UO	5.49E-01	6.91E-01	1.29E+00	1.36E+00
TCGA-C9-A47Z	4.23E-01	8.59E-01	8.90E-01	8.56E-01
TCGA-C9-A480	4.97E-01	4.70E-01	6.27E-01	4.65E-01
TCGA-CN-4725	5.77E-02	5.01E-01	5.13E-01	3.91E-01
TCGA-CN-4726	4.92E-01	6.77E-01	7.22E-01	6.55E-01
TCGA-CN-4727	9.23E-01	2.04E+00	1.70E+00	1.75E+00
TCGA-CN-4728	6.78E-01	6.14E-01	8.07E-01	7.42E-01
TCGA-CN-4729	9.07E-01	7.78E-01	9.87E-01	9.56E-01
TCGA-CN-4730	1.35E+00	7.54E-01	1.33E+00	1.19E+00
TCGA-CN-4731	7.01E-01	8.30E-01	1.14E+00	1.06E+00
TCGA-CN-4733	8.41E-02	1.11E-01	2.16E-01	1.83E-01
TCGA-CN-4734	1.24E+00	7.00E-01	9.94E-01	9.84E-01
TCGA-CN-4735	1.30E+00	8.94E-01	1.08E+00	1.30E+00
TCGA-CN-4736	3.10E-01	8.05E-01	8.35E-01	1.13E+00
TCGA-CN-4737	2.27E-01	5.29E-01	5.48E-01	5.14E-01
TCGA-CN-4738	6.32E-01	8.99E-01	7.59E-01	8.16E-01
TCGA-CN-4739	5.95E-01	1.48E+00	9.67E-01	1.43E+00
TCGA-CN-4740	1.16E+00	6.35E-01	1.10E+00	1.02E+00
TCGA-CN-4741	7.09E-01	7.89E-01	9.96E-01	9.68E-01
TCGA-CN-4742	4.00E-01	7.79E-01	6.78E-01	8.22E-01
TCGA-CN-5355	2.70E-01	9.69E-01	9.64E-01	1.28E+00
TCGA-CN-5356	8.68E-01	2.14E+00	1.84E+00	2.63E+00
TCGA-CN-5358	3.02E-01	3.23E-01	2.39E-01	4.57E-01
TCGA-CN-5359	5.08E-01	9.38E-01	8.51E-01	1.22E+00
TCGA-CN-5360	1.10E+00	2.62E+00	1.86E+00	2.20E+00
TCGA-CN-5361	9.86E-01	7.79E-01	9.24E-01	9.71E-01
TCGA-CN-5363	8.26E-01	1.35E+00	1.16E+00	1.48E+00
TCGA-CN-5364	7.61E-01	8.62E-01	1.38E+00	1.38E+00
TCGA-CN-5365	6.28E-01	9.66E-01	6.90E-01	1.19E+00
TCGA-CN-5366	6.62E-01	4.17E-01	9.03E-01	8.66E-01
TCGA-CN-5367	4.13E-01	7.98E-01	9.41E-01	1.31E+00
TCGA-CN-5369	1.35E+00	9.59E-01	1.57E+00	1.27E+00
TCGA-CN-5370	7.27E-01	5.14E-01	8.72E-01	7.74E-01
TCGA-CN-5373	6.77E-01	8.72E-01	1.24E+00	1.32E+00
TCGA-CN-5374	1.25E+00	4.67E-01	1.03E+00	1.22E+00
TCGA-CN-6010	3.69E-01	9.42E-01	1.09E+00	1.22E+00
TCGA-CN-6011	3.21E+00	8.91E-01	1.20E+00	2.59E+00
TCGA-CN-6012	7.31E-01	9.28E-01	8.05E-01	8.39E-01
TCGA-CN-6013	1.95E+00	1.59E-01	1.14E+00	2.10E+00
TCGA-CN-6016	8.00E-01	3.29E-01	1.15E+00	1.05E+00
TCGA-CN-6018	7.12E-01	4.88E-01	8.67E-01	7.12E-01
TCGA-CN-6019	5.47E-01	1.33E+00	1.03E+00	1.47E+00
TCGA-CN-6020	7.32E-01	8.00E-01	8.73E-01	9.66E-01
TCGA-CN-6021	1.04E+00	1.61E+00	1.36E+00	1.65E+00
TCGA-CN-6022	6.13E-01	7.01E-01	6.51E-01	6.78E-01
TCGA-CN-6023	6.90E-01	1.04E+00	8.08E-01	1.19E+00
TCGA-CN-6024	6.69E-01	1.36E+00	1.50E+00	2.03E+00
TCGA-CN-6988	5.11E-01	1.31E+00	1.12E+00	1.19E+00
