Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-4P-AA8J	49	7	12	0	76
TCGA-BA-4074	19	5	55	13	62
TCGA-BA-4075	3	9	19	37	54
TCGA-BA-4076	35	287	15	2	62
TCGA-BA-4077	199	16	0	102	7
TCGA-BA-4078	28	359	18	106	47
TCGA-BA-5149	30	20	33	0	46
TCGA-BA-5151	5	12	45	25	7
TCGA-BA-5152	403	0	0	168	0
TCGA-BA-5153	2	1	18	3	18
TCGA-BA-5555	9	62	27	0	57
TCGA-BA-5556	19	27	42	0	50
TCGA-BA-5557	7	1	12	7	3
TCGA-BA-5558	69	0	0	114	0
TCGA-BA-5559	7	8	32	12	9
TCGA-BA-6868	63	19	10	14	65
TCGA-BA-6869	68	346	37	15	91
TCGA-BA-6870	11	9	0	27	39
TCGA-BA-6871	69	17	23	9	38
TCGA-BA-6872	31	4	18	52	66
TCGA-BA-6873	13	4	40	0	11
TCGA-BA-7269	15	26	31	0	24
TCGA-BA-A4IF	22	25	35	2	16
TCGA-BA-A4IG	39	1	1	34	56
TCGA-BA-A4IH	4	13	16	7	8
TCGA-BA-A4II	15	20	26	9	31
TCGA-BA-A6D8	10	32	44	0	47
TCGA-BA-A6DA	67	563	73	0	104
TCGA-BA-A6DB	1	2	8	0	0
TCGA-BA-A6DD	1	8	26	1	15
TCGA-BA-A6DE	28	23	12	48	28
TCGA-BA-A6DG	0	1	10	0	10
TCGA-BA-A6DI	10	38	11	29	20
TCGA-BA-A6DJ	119	10	98	40	17
TCGA-BA-A6DL	13	21	17	24	17
TCGA-BA-A8YP	37	29	35	43	37
TCGA-BB-4217	0	0	1	4	14
TCGA-BB-4223	57	3	21	3	4
TCGA-BB-4224	41	6	38	4	4
TCGA-BB-4225	0	0	18	55	0
TCGA-BB-4227	258	9	18	0	11
TCGA-BB-4228	11	7	24	5	0
TCGA-BB-7870	13	201	45	1	65
TCGA-BB-8596	38	13	22	0	20
TCGA-BB-8601	4	11	17	5	35
TCGA-BB-A5HU	142	0	0	71	0
TCGA-BB-A5HY	76	29	7	80	47
TCGA-BB-A5HZ	0	14	15	43	8
TCGA-BB-A6UM	0	0	68	5	8
TCGA-BB-A6UO	6	3	20	31	58
TCGA-C9-A47Z	7	37	68	5	4
TCGA-C9-A480	3	4	29	24	0
TCGA-CN-4725	0	10	44	1	4
TCGA-CN-4726	9	22	39	5	8
TCGA-CN-4727	20	323	57	56	30
TCGA-CN-4728	23	11	10	23	16
TCGA-CN-4729	35	27	32	23	29
TCGA-CN-4730	82	20	34	0	55
TCGA-CN-4731	26	17	44	13	31
TCGA-CN-4733	0	0	12	0	0
TCGA-CN-4734	77	24	67	0	11
TCGA-CN-4735	25	13	0	131	0
TCGA-CN-4736	1	20	34	16	25
TCGA-CN-4737	0	10	26	8	6
TCGA-CN-4738	8	24	8	37	7
TCGA-CN-4739	15	134	42	0	45
TCGA-CN-4740	36	4	9	66	18
TCGA-CN-4741	13	14	31	44	14
TCGA-CN-4742	2	10	28	14	19
TCGA-CN-5355	4	47	31	0	33
TCGA-CN-5356	40	184	76	0	97
TCGA-CN-5358	2	3	2	0	9
TCGA-CN-5359	10	39	28	15	25
TCGA-CN-5360	17	405	33	74	50
TCGA-CN-5361	26	16	18	41	27
TCGA-CN-5363	27	96	12	26	46
TCGA-CN-5364	21	16	2	55	45
TCGA-CN-5365	3	11	0	45	14
TCGA-CN-5366	20	0	28	22	30
TCGA-CN-5367	7	12	27	0	43
TCGA-CN-5369	112	41	130	0	19
TCGA-CN-5370	33	6	41	5	14
TCGA-CN-5373	1	6	40	76	39
TCGA-CN-5374	56	0	16	97	0
TCGA-CN-6010	4	41	40	0	33
TCGA-CN-6011	249	0	0	150	0
TCGA-CN-6012	25	31	12	15	25
TCGA-CN-6013	48	0	0	148	0
TCGA-CN-6016	40	0	35	0	48
TCGA-CN-6018	27	0	42	26	11
TCGA-CN-6019	0	38	10	53	33
TCGA-CN-6020	19	16	38	25	23
TCGA-CN-6021	27	174	21	46	50
TCGA-CN-6022	20	16	16	25	5
TCGA-CN-6023	22	9	6	41	27
TCGA-CN-6024	1	39	29	46	73
TCGA-CN-6988	8	96	42	10	22
TCGA-CN-6989	11	4	5	63	31
TCGA-CN-6992	39	198	136	0	16
TCGA-CN-6994	39	33	24	28	1
TCGA-CN-6995	10	106	31	46	54
TCGA-CN-6996	11	0	14	24	3
TCGA-CN-6997	33	26	24	20	51
TCGA-CN-6998	33	0	57	0	8
TCGA-CN-A497	15	281	15	33	58
TCGA-CN-A498	35	9	9	51	23
TCGA-CN-A499	2	0	29	0	2
TCGA-CN-A49A	43	19	22	39	13
TCGA-CN-A49B	28	1	32	19	32
TCGA-CN-A49C	10	0	36	6	0
TCGA-CN-A63T	17	155	39	28	49
TCGA-CN-A63U	15	385	46	45	129
TCGA-CN-A63V	2	16	67	2	3
TCGA-CN-A63W	52	296	60	0	50
TCGA-CN-A641	3	155	13	74	1
TCGA-CN-A642	21	0	48	12	2
TCGA-CN-A6UY	0	9	18	15	4
TCGA-CN-A6V1	38	0	0	70	0
TCGA-CN-A6V3	22	150	35	14	44
TCGA-CN-A6V6	4	0	29	49	0
TCGA-CN-A6V7	12	0	28	18	0
TCGA-CQ-5323	0	6	26	15	6
TCGA-CQ-5324	7	0	39	21	5
TCGA-CQ-5325	0	3	1	17	24
TCGA-CQ-5326	150	3	36	32	29
TCGA-CQ-5327	115	0	21	122	0
TCGA-CQ-5329	0	5	20	1	5
TCGA-CQ-5330	0	0	29	15	18
TCGA-CQ-5331	105	5	10	36	0
TCGA-CQ-5332	13	28	59	30	25
TCGA-CQ-5333	79	15	33	94	0
TCGA-CQ-5334	81	17	65	10	14
TCGA-CQ-6218	46	10	38	33	23
TCGA-CQ-6219	17	0	16	0	22
TCGA-CQ-6220	47	8	41	0	22
TCGA-CQ-6221	70	14	14	0	23
TCGA-CQ-6222	2	8	29	0	7
TCGA-CQ-6223	4	30	50	0	12
TCGA-CQ-6224	0	2	37	14	5
TCGA-CQ-6225	26	30	36	0	54
TCGA-CQ-6227	9	8	29	0	1
TCGA-CQ-6228	7	18	31	6	44
TCGA-CQ-6229	0	7	21	1	0
TCGA-CQ-7063	76	5	41	0	20
TCGA-CQ-7065	0	0	11	16	6
TCGA-CQ-7068	30	6	38	40	3
TCGA-CQ-7069	82	5	9	0	7
TCGA-CQ-7071	396	19	2	111	0
TCGA-CQ-7072	2	33	16	21	52
TCGA-CQ-A4C6	50	13	31	19	13
TCGA-CQ-A4C7	1	0	5	29	12
TCGA-CQ-A4C9	15	9	32	17	18
TCGA-CQ-A4CB	16	2	22	24	29
TCGA-CQ-A4CD	102	15	38	0	11
TCGA-CQ-A4CE	7	9	36	9	4
TCGA-CQ-A4CG	3	28	34	21	6
TCGA-CQ-A4CH	0	0	2	0	4
TCGA-CQ-A4CI	12	32	62	0	14
TCGA-CR-5243	19	12	33	0	3
TCGA-CR-5247	2	8	28	6	31
TCGA-CR-5248	152	0	9	178	0
TCGA-CR-5249	5	2	16	5	5
TCGA-CR-5250	2	7	11	7	16
TCGA-CR-6467	2	2	33	10	7
TCGA-CR-6470	3	0	24	5	4
TCGA-CR-6471	0	22	58	30	38
TCGA-CR-6472	418	8	0	115	0
TCGA-CR-6473	25	0	37	38	3
TCGA-CR-6474	29	24	15	3	31
TCGA-CR-6477	7	4	9	26	32
TCGA-CR-6478	6	0	0	115	7
TCGA-CR-6480	45	0	0	80	0
TCGA-CR-6481	258	0	0	279	0
TCGA-CR-6482	10	5	17	6	5
TCGA-CR-6484	210	6	29	16	8
TCGA-CR-6487	52	0	50	40	0
TCGA-CR-6488	1	8	19	6	0
TCGA-CR-6491	4	11	28	19	66
TCGA-CR-6492	5	0	2	20	11
TCGA-CR-6493	4	10	13	6	3
TCGA-CR-7364	31	304	75	28	89
TCGA-CR-7365	121	20	16	19	23
TCGA-CR-7367	10	45	51	36	36
TCGA-CR-7368	96	0	16	70	27
TCGA-CR-7369	4	19	13	24	22
TCGA-CR-7370	75	405	64	54	17
TCGA-CR-7371	112	129	38	0	28
TCGA-CR-7372	0	14	32	0	4
TCGA-CR-7373	62	8	41	5	9
TCGA-CR-7374	87	165	25	56	29
TCGA-CR-7376	13	0	19	0	5
TCGA-CR-7377	9	0	31	37	41
TCGA-CR-7379	12	22	76	30	12
TCGA-CR-7380	4	9	72	9	1
TCGA-CR-7382	22	0	38	0	11
TCGA-CR-7383	4	32	40	17	40
TCGA-CR-7385	11	3	5	16	6
TCGA-CR-7386	118	0	4	66	0
TCGA-CR-7388	230	355	49	32	33
TCGA-CR-7389	0	9	33	0	46
TCGA-CR-7390	41	17	32	27	37
TCGA-CR-7391	1	0	1	0	0
TCGA-CR-7392	0	0	1	6	0
TCGA-CR-7394	18	0	17	90	0
TCGA-CR-7395	32	0	0	116	0
TCGA-CR-7397	5	0	11	11	5
TCGA-CR-7398	42	238	42	57	22
TCGA-CR-7399	39	161	41	52	25
TCGA-CR-7401	9	9	55	11	15
TCGA-CR-7404	44	0	7	64	0
TCGA-CV-5430	55	6	10	50	35
TCGA-CV-5432	25	192	47	1	52
TCGA-CV-5434	12	44	58	13	27
TCGA-CV-5435	4	26	15	45	38
TCGA-CV-5436	17	0	10	37	47
TCGA-CV-5439	0	56	0	31	33
TCGA-CV-5440	51	22	19	7	27
TCGA-CV-5441	11	310	62	36	22
TCGA-CV-5442	110	0	9	175	0
TCGA-CV-5443	1	14	24	18	0
TCGA-CV-5444	62	4	23	27	14
TCGA-CV-5966	17	6	19	44	42
TCGA-CV-5970	79	0	116	14	0
TCGA-CV-5971	0	0	6	3	0
TCGA-CV-5973	5	6	45	0	7
TCGA-CV-5976	12	1	18	35	19
TCGA-CV-5977	30	16	49	0	3
TCGA-CV-5978	7	88	24	30	36
TCGA-CV-5979	2	4	18	0	6
TCGA-CV-6003	13	5	44	34	0
TCGA-CV-6433	1	2	22	9	14
TCGA-CV-6436	9	8	47	22	3
TCGA-CV-6441	141	41	39	0	40
TCGA-CV-6933	18	11	17	15	60
TCGA-CV-6934	8	20	31	0	39
TCGA-CV-6935	43	137	12	46	11
TCGA-CV-6936	117	1	11	157	0
TCGA-CV-6937	12	12	22	57	29
TCGA-CV-6938	18	8	71	1	28
TCGA-CV-6939	0	9	7	13	3
TCGA-CV-6940	54	14	21	43	15
TCGA-CV-6941	0	34	52	47	30
TCGA-CV-6942	167	30	67	0	0
TCGA-CV-6943	17	0	4	19	0
TCGA-CV-6945	18	67	45	13	12
TCGA-CV-6948	58	41	35	50	28
TCGA-CV-6950	2	16	16	5	22
TCGA-CV-6951	42	19	27	23	38
TCGA-CV-6952	49	0	30	12	99
TCGA-CV-6953	28	18	56	20	4
TCGA-CV-6954	14	18	20	28	38
TCGA-CV-6955	13	14	36	10	12
TCGA-CV-6956	32	50	43	41	60
TCGA-CV-6959	4	24	41	0	0
TCGA-CV-6960	26	111	26	0	34
