Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-4P-AA8J	43	12	8	10	0	71
TCGA-BA-4074	16	18	10	52	0	58
TCGA-BA-4075	2	22	8	20	18	52
TCGA-BA-4076	30	4	246	0	84	37
TCGA-BA-4077	171	116	16	0	18	3
TCGA-BA-4078	23	66	316	7	119	27
TCGA-BA-5149	32	0	20	33	0	44
TCGA-BA-5151	4	17	7	39	25	2
TCGA-BA-5152	339	232	0	0	0	0
TCGA-BA-5153	1	4	2	16	0	19
TCGA-BA-5555	8	0	51	18	33	45
TCGA-BA-5556	15	5	3	21	68	26
TCGA-BA-5557	6	7	2	12	0	3
TCGA-BA-5558	60	118	0	5	0	0
TCGA-BA-5559	5	11	1	24	25	2
TCGA-BA-6868	55	24	20	9	3	60
TCGA-BA-6869	58	32	339	37	0	91
TCGA-BA-6870	6	25	13	0	0	42
TCGA-BA-6871	58	22	6	12	33	25
TCGA-BA-6872	27	34	0	13	47	50
TCGA-BA-6873	11	5	4	38	0	10
TCGA-BA-7269	12	3	9	17	45	10
TCGA-BA-A4IF	18	9	19	26	18	10
TCGA-BA-A4IG	34	31	6	5	0	55
TCGA-BA-A4IH	3	6	8	11	16	4
TCGA-BA-A4II	12	13	21	25	0	30
TCGA-BA-A6D8	11	0	22	34	30	36
TCGA-BA-A6DA	53	13	440	11	252	38
TCGA-BA-A6DB	1	2	2	6	0	0
TCGA-BA-A6DD	1	2	4	19	14	11
TCGA-BA-A6DE	23	36	20	13	21	26
TCGA-BA-A6DG	0	0	1	10	0	10
TCGA-BA-A6DI	9	21	41	15	0	22
TCGA-BA-A6DJ	104	58	12	91	3	16
TCGA-BA-A6DL	10	15	6	7	52	2
TCGA-BA-A8YP	30	34	15	24	56	22
TCGA-BB-4217	0	3	0	2	0	14
TCGA-BB-4223	49	18	2	17	1	1
TCGA-BB-4224	34	18	5	33	0	3
TCGA-BB-4225	0	43	0	30	0	0
TCGA-BB-4227	236	25	0	12	23	0
TCGA-BB-4228	9	6	5	20	7	0
TCGA-BB-7870	10	4	149	16	112	34
TCGA-BB-8596	36	0	2	13	32	10
TCGA-BB-8601	3	6	13	16	0	34
TCGA-BB-A5HU	125	87	0	1	0	0
TCGA-BB-A5HY	65	60	14	2	67	31
TCGA-BB-A5HZ	0	22	0	8	50	0
TCGA-BB-A6UM	0	6	0	61	8	6
TCGA-BB-A6UO	4	24	8	23	0	59
TCGA-C9-A47Z	5	10	37	62	0	7
TCGA-C9-A480	2	17	3	27	11	0
TCGA-CN-4725	0	3	9	41	2	4
TCGA-CN-4726	7	7	14	31	22	2
TCGA-CN-4727	15	35	264	30	142	0
TCGA-CN-4728	21	19	8	8	16	11
TCGA-CN-4729	29	23	24	29	15	26
