Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-4P-AA8J	42	14	10	10	0	0	68
TCGA-BA-4074	15	16	8	45	0	19	51
TCGA-BA-4075	0	20	1	16	43	0	42
TCGA-BA-4076	31	4	233	0	42	62	29
TCGA-BA-4077	162	111	12	0	15	22	2
TCGA-BA-4078	25	53	301	0	36	123	20
TCGA-BA-5149	32	0	19	30	7	0	41
TCGA-BA-5151	5	14	7	36	8	23	1
TCGA-BA-5152	330	241	0	0	0	0	0
TCGA-BA-5153	1	5	3	16	0	0	17
TCGA-BA-5555	9	0	49	12	8	41	36
TCGA-BA-5556	17	3	10	19	11	53	25
TCGA-BA-5557	5	7	2	11	0	3	2
TCGA-BA-5558	58	107	0	11	0	7	0
TCGA-BA-5559	5	10	2	25	23	0	3
TCGA-BA-6868	49	25	9	4	37	0	47
TCGA-BA-6869	52	34	310	29	54	0	78
TCGA-BA-6870	6	23	15	0	0	0	42
TCGA-BA-6871	54	23	4	12	38	4	21
TCGA-BA-6872	25	29	0	8	33	38	38
TCGA-BA-6873	11	6	5	35	0	0	11
TCGA-BA-7269	10	4	4	15	57	1	5
TCGA-BA-A4IF	18	8	19	24	0	23	8
TCGA-BA-A4IG	32	29	7	6	0	4	53
TCGA-BA-A4IH	2	5	3	9	28	0	1
TCGA-BA-A4II	11	13	22	25	0	0	30
TCGA-BA-A6D8	10	0	15	30	51	0	27
TCGA-BA-A6DA	47	19	409	14	264	24	30
TCGA-BA-A6DB	0	2	2	7	0	0	0
TCGA-BA-A6DD	0	2	2	18	20	1	8
TCGA-BA-A6DE	20	35	16	13	32	0	23
TCGA-BA-A6DG	0	0	2	10	0	0	9
TCGA-BA-A6DI	8	17	32	7	0	32	12
TCGA-BA-A6DJ	96	59	3	81	32	4	9
TCGA-BA-A6DL	9	13	3	8	57	2	0
TCGA-BA-A8YP	30	29	15	20	24	45	18
TCGA-BB-4217	0	3	0	2	0	1	13
TCGA-BB-4223	44	16	0	10	0	18	0
TCGA-BB-4224	33	19	6	31	0	0	4
TCGA-BB-4225	0	36	0	29	0	8	0
TCGA-BB-4227	225	39	0	10	2	20	0
TCGA-BB-4228	8	6	5	21	5	2	0
TCGA-BB-7870	9	4	140	12	89	46	25
TCGA-BB-8596	35	0	2	10	11	29	6
TCGA-BB-8601	3	5	11	12	0	15	26
TCGA-BB-A5HU	115	81	0	1	0	16	0
TCGA-BB-A5HY	61	54	13	2	49	34	26
TCGA-BB-A5HZ	0	18	0	8	37	17	0
TCGA-BB-A6UM	0	5	0	51	0	24	1
TCGA-BB-A6UO	4	20	9	22	0	9	54
TCGA-C9-A47Z	3	11	31	55	17	0	4
TCGA-C9-A480	1	14	3	27	10	5	0
TCGA-CN-4725	0	3	8	37	8	0	3
TCGA-CN-4726	7	6	15	29	0	25	1
TCGA-CN-4727	15	29	243	23	98	78	0
TCGA-CN-4728	19	18	7	7	12	12	8
TCGA-CN-4729	27	22	19	26	30	1	21
TCGA-CN-4730	71	21	17	26	5	4	47
TCGA-CN-4731	20	17	14	36	12	7	25
TCGA-CN-4733	0	1	0	9	2	0	0
