Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-4P-AA8J	37	18	12	11	0	0	0	66
TCGA-BA-4074	13	13	3	29	41	0	20	35
TCGA-BA-4075	0	16	0	21	0	38	0	47
TCGA-BA-4076	26	8	211	0	0	78	51	27
TCGA-BA-4077	135	108	0	0	0	56	21	4
TCGA-BA-4078	21	42	269	2	0	102	108	14
TCGA-BA-5149	31	0	16	30	0	12	1	39
TCGA-BA-5151	4	12	8	30	22	1	17	0
TCGA-BA-5152	299	249	0	7	0	16	0	0
TCGA-BA-5153	0	4	4	15	0	0	1	18
TCGA-BA-5555	8	0	45	2	41	0	35	24
TCGA-BA-5556	14	4	4	10	39	15	36	16
TCGA-BA-5557	4	6	1	10	8	0	0	1
TCGA-BA-5558	52	96	6	18	0	0	11	0
TCGA-BA-5559	4	8	3	16	37	0	0	0
TCGA-BA-6868	44	27	12	6	16	16	0	50
TCGA-BA-6869	44	35	283	25	28	74	0	68
TCGA-BA-6870	5	19	15	0	5	2	0	40
TCGA-BA-6871	46	25	4	7	37	17	3	17
TCGA-BA-6872	23	25	0	5	41	10	35	32
TCGA-BA-6873	9	7	5	33	0	0	4	10
TCGA-BA-7269	10	5	5	18	11	34	4	9
TCGA-BA-A4IF	15	10	19	23	0	7	18	8
TCGA-BA-A4IG	28	28	9	7	0	0	8	51
TCGA-BA-A4IH	2	5	4	9	13	14	0	1
TCGA-BA-A4II	9	13	22	26	0	0	0	31
TCGA-BA-A6D8	11	0	21	22	57	0	0	22
TCGA-BA-A6DA	40	23	350	34	4	299	13	44
TCGA-BA-A6DB	0	2	3	6	0	0	0	0
TCGA-BA-A6DD	0	2	4	15	20	3	0	7
TCGA-BA-A6DE	16	29	6	16	0	48	0	24
TCGA-BA-A6DG	0	0	2	10	0	0	0	9
TCGA-BA-A6DI	7	13	33	5	12	0	30	8
TCGA-BA-A6DJ	83	60	0	77	0	32	22	10
TCGA-BA-A6DL	9	9	7	0	67	0	0	0
TCGA-BA-A8YP	26	24	16	9	68	0	29	9
TCGA-BB-4217	0	2	0	2	0	0	1	14
TCGA-BB-4223	40	20	1	11	0	0	16	0
TCGA-BB-4224	28	21	8	30	0	0	0	6
TCGA-BB-4225	0	24	0	21	24	0	4	0
