Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-4P-AA8J	1.19E+00	1.11E+00	6.19E-01	6.85E-01	1.47E+00	8.20E-01	1.10E+00	1.31E+00
TCGA-BA-4074	6.12E-01	9.22E-01	5.09E-01	1.27E+00	1.34E+00	7.92E-01	1.21E+00	1.23E+00
TCGA-BA-4075	5.50E-01	5.90E-01	4.05E-01	7.26E-01	1.27E+00	1.13E+00	1.12E+00	1.19E+00
TCGA-BA-4076	1.02E+00	9.12E-01	3.21E+00	4.80E-01	2.52E+00	3.68E+00	2.31E+00	1.41E+00
TCGA-BA-4077	4.61E+00	4.51E+00	7.38E-01	7.70E-01	1.63E+00	1.40E+00	1.47E+00	9.45E-01
TCGA-BA-4078	1.23E+00	1.64E+00	4.07E+00	1.18E+00	2.96E+00	4.62E+00	2.85E+00	1.53E+00
TCGA-BA-5149	7.49E-01	7.62E-01	6.68E-01	7.73E-01	1.11E+00	1.16E+00	1.07E+00	1.02E+00
TCGA-BA-5151	4.67E-01	6.65E-01	7.10E-01	1.07E+00	1.03E+00	7.57E-01	1.02E+00	4.65E-01
TCGA-BA-5152	1.01E+01	1.01E+01	6.17E-01	1.06E+00	2.55E+00	1.48E+00	7.97E-01	1.02E-01
TCGA-BA-5153	1.39E-01	3.36E-01	3.80E-01	6.06E-01	5.61E-01	3.43E-01	5.31E-01	6.32E-01
TCGA-BA-5555	4.83E-01	5.34E-01	1.13E+00	8.70E-01	1.19E+00	1.24E+00	1.22E+00	1.30E+00
TCGA-BA-5556	5.11E-01	7.47E-01	7.99E-01	1.12E+00	1.50E+00	1.29E+00	1.48E+00	1.26E+00
TCGA-BA-5557	2.53E-01	3.01E-01	2.63E-01	5.13E-01	4.60E-01	3.12E-01	4.12E-01	2.74E-01
TCGA-BA-5558	2.51E+00	2.65E+00	3.87E-01	1.10E+00	9.46E-01	6.10E-01	1.01E+00	1.28E-01
TCGA-BA-5559	3.93E-01	5.58E-01	4.90E-01	8.18E-01	8.20E-01	6.57E-01	6.90E-01	5.67E-01
TCGA-BA-6868	1.22E+00	1.27E+00	7.64E-01	6.26E-01	1.21E+00	1.24E+00	1.13E+00	1.34E+00
TCGA-BA-6869	1.41E+00	1.24E+00	4.76E+00	1.36E+00	3.32E+00	5.40E+00	2.25E+00	1.79E+00
TCGA-BA-6870	5.16E-01	5.60E-01	6.57E-01	2.15E-01	8.35E-01	6.31E-01	7.92E-01	8.63E-01
TCGA-BA-6871	1.32E+00	1.45E+00	6.86E-01	7.23E-01	1.08E+00	1.09E+00	1.02E+00	1.08E+00
TCGA-BA-6872	9.24E-01	9.88E-01	7.18E-02	9.16E-01	1.46E+00	1.41E+00	1.53E+00	1.51E+00
TCGA-BA-6873	4.30E-01	4.57E-01	2.86E-01	8.63E-01	7.01E-01	4.61E-01	7.03E-01	6.06E-01
TCGA-BA-7269	4.89E-01	5.46E-01	8.00E-01	7.55E-01	1.16E+00	1.09E+00	1.06E+00	8.33E-01
TCGA-BA-A4IF	6.16E-01	5.85E-01	7.68E-01	8.39E-01	9.41E-01	7.91E-01	9.53E-01	6.73E-01
TCGA-BA-A4IG	9.20E-01	1.02E+00	5.74E-01	5.02E-01	1.05E+00	8.99E-01	1.02E+00	1.28E+00
TCGA-BA-A4IH	2.91E-01	4.45E-01	6.02E-01	5.82E-01	8.00E-01	6.80E-01	4.39E-01	4.30E-01
