Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-4P-AA8J	17	35	10	10	0	9	0	2	61
TCGA-BA-4074	13	9	5	23	53	0	0	16	35
TCGA-BA-4075	15	1	1	18	0	21	29	0	37
TCGA-BA-4076	9	23	197	0	8	11	89	42	22
TCGA-BA-4077	103	125	5	0	25	11	39	15	1
TCGA-BA-4078	38	22	260	4	2	92	33	94	13
TCGA-BA-5149	0	26	16	18	34	0	3	0	32
TCGA-BA-5151	10	0	4	21	42	0	9	8	0
TCGA-BA-5152	239	281	0	3	32	0	16	0	0
TCGA-BA-5153	4	1	3	14	0	0	0	5	15
TCGA-BA-5555	0	5	47	2	44	0	0	31	26
TCGA-BA-5556	4	14	1	16	0	50	0	36	17
TCGA-BA-5557	6	3	1	6	14	0	0	0	0
TCGA-BA-5558	90	48	5	16	10	0	4	10	0
TCGA-BA-5559	8	2	3	15	29	1	9	0	1
TCGA-BA-6868	26	41	10	8	0	13	30	0	43
TCGA-BA-6869	34	38	263	17	36	3	107	0	59
TCGA-BA-6870	18	4	13	0	6	5	3	0	37
TCGA-BA-6871	23	40	8	0	67	0	5	0	13
TCGA-BA-6872	23	18	0	0	60	21	0	20	29
TCGA-BA-6873	7	8	3	30	0	6	0	6	8
TCGA-BA-7269	4	10	6	19	0	38	10	2	7
TCGA-BA-A4IF	9	12	18	15	29	0	0	12	5
TCGA-BA-A4IG	26	25	4	4	4	0	15	9	44
TCGA-BA-A4IH	4	1	4	11	3	8	16	0	1
TCGA-BA-A4II	13	8	18	24	0	0	12	0	26
TCGA-BA-A6D8	0	11	16	32	0	34	14	1	25
TCGA-BA-A6DA	19	40	346	19	17	166	171	3	26
TCGA-BA-A6DB	2	0	3	6	0	0	0	0	0
TCGA-BA-A6DD	2	0	4	16	7	14	0	0	8
TCGA-BA-A6DE	27	17	13	16	0	37	8	0	21
TCGA-BA-A6DG	0	0	3	9	0	0	0	0	9
TCGA-BA-A6DI	13	7	32	8	0	6	0	33	9
TCGA-BA-A6DJ	57	75	0	68	15	0	52	12	5
TCGA-BA-A6DL	10	5	7	0	46	10	14	0	0
TCGA-BA-A8YP	24	26	10	22	0	40	11	35	13
TCGA-BB-4217	2	0	0	1	4	0	1	0	11
TCGA-BB-4223	19	33	0	5	21	0	0	10	0
TCGA-BB-4224	21	27	9	30	0	0	0	0	6
TCGA-BB-4225	24	0	0	19	27	0	0	3	0
TCGA-BB-4227	63	183	0	11	0	13	7	18	1
TCGA-BB-4228	6	6	1	15	1	18	0	0	0
TCGA-BB-7870	3	9	117	16	0	94	39	27	20
TCGA-BB-8596	3	32	4	12	0	0	11	25	6
TCGA-BB-8601	5	2	12	13	0	0	2	15	23
TCGA-BB-A5HU	78	99	0	5	0	0	1	30	0
TCGA-BB-A5HY	47	45	15	0	68	0	42	0	22
TCGA-BB-A5HZ	11	0	0	9	0	45	0	15	0
TCGA-BB-A6UM	6	0	0	45	1	0	14	15	0
TCGA-BB-A6UO	14	0	8	8	44	0	0	0	44
TCGA-C9-A47Z	10	2	24	51	0	12	19	0	3
TCGA-C9-A480	10	2	1	24	0	14	0	9	0
TCGA-CN-4725	2	0	6	25	23	1	1	0	1
TCGA-CN-4726	7	5	9	24	1	0	21	16	0
TCGA-CN-4727	22	10	210	18	43	21	108	54	0
TCGA-CN-4728	15	14	6	6	10	10	7	8	7
TCGA-CN-4729	18	20	17	12	47	17	0	0	15
TCGA-CN-4730	25	56	13	17	19	0	10	14	37
TCGA-CN-4731	16	16	9	31	0	23	6	11	19
TCGA-CN-4733	1	0	0	11	0	0	0	0	0
TCGA-CN-4734	27	47	16	32	45	5	0	5	2
TCGA-CN-4735	58	14	17	13	0	0	25	40	2
TCGA-CN-4736	6	0	8	18	10	30	0	18	6
TCGA-CN-4737	2	1	4	15	0	7	0	21	0
TCGA-CN-4738	17	2	27	7	25	0	0	0	6
TCGA-CN-4739	8	7	103	18	31	0	22	19	28
TCGA-CN-4740	28	21	0	0	42	36	2	2	2
TCGA-CN-4741	24	7	17	33	0	0	11	7	17
TCGA-CN-4742	7	1	0	20	0	32	4	0	9
TCGA-CN-5355	1	4	28	20	0	26	14	1	21
TCGA-CN-5356	10	31	129	35	0	26	24	97	45
TCGA-CN-5358	0	1	0	0	3	8	0	0	4
TCGA-CN-5359	10	6	23	20	0	21	10	13	14
TCGA-CN-5360	29	12	295	17	0	114	42	54	16
TCGA-CN-5361	27	16	21	23	0	0	13	0	28
TCGA-CN-5363	14	18	68	0	24	37	0	28	18
TCGA-CN-5364	24	14	8	1	14	39	0	9	30
TCGA-CN-5365	15	1	0	0	0	39	16	2	0
TCGA-CN-5366	16	12	0	19	4	14	0	13	22
TCGA-CN-5367	1	6	0	11	0	16	8	27	20
TCGA-CN-5369	31	71	9	52	15	0	0	124	0
TCGA-CN-5370	18	21	9	34	0	0	4	0	13
TCGA-CN-5373	26	1	7	31	4	0	14	50	29
TCGA-CN-5374	60	32	1	15	61	0	0	0	0
TCGA-CN-6010	0	6	18	26	0	0	48	5	15
TCGA-CN-6011	151	170	9	17	0	0	5	17	30
TCGA-CN-6012	10	16	9	0	20	45	0	5	3
TCGA-CN-6013	107	32	3	39	0	4	4	0	7
TCGA-CN-6016	12	25	0	12	22	0	0	29	23
TCGA-CN-6018	23	17	4	37	6	4	1	2	12
TCGA-CN-6019	14	0	13	7	3	80	0	6	11
TCGA-CN-6020	18	11	17	27	17	10	0	4	17
TCGA-CN-6021	24	18	120	15	0	98	13	3	27
TCGA-CN-6022	18	12	15	14	4	0	6	9	4
TCGA-CN-6023	22	13	4	11	0	0	35	1	19
TCGA-CN-6024	15	2	28	21	0	37	2	38	45
TCGA-CN-6988	4	7	59	20	0	49	0	37	2
TCGA-CN-6989	28	7	14	15	0	0	0	17	33
TCGA-CN-6992	19	19	149	71	89	0	30	12	0
TCGA-CN-6994	17	22	12	3	38	0	20	13	0
TCGA-CN-6995	20	6	67	22	0	13	60	33	26
TCGA-CN-6996	12	7	0	12	0	8	3	10	0
TCGA-CN-6997	19	22	21	14	0	0	8	36	34
TCGA-CN-6998	15	23	1	43	0	0	0	6	10
TCGA-CN-A497	18	7	183	0	0	0	136	32	26
TCGA-CN-A498	29	19	5	3	39	0	20	0	12
TCGA-CN-A499	2	0	0	15	10	0	0	6	0
TCGA-CN-A49A	27	25	0	19	0	29	34	0	2
TCGA-CN-A49B	13	12	0	1	74	0	0	0	12
TCGA-CN-A49C	9	6	0	28	0	7	0	0	2
TCGA-CN-A63T	16	11	104	25	0	49	39	23	21
TCGA-CN-A63U	15	5	253	0	82	45	130	37	53
TCGA-CN-A63V	4	1	3	44	0	35	0	3	0
TCGA-CN-A63W	3	47	205	31	0	48	57	55	12
TCGA-CN-A641	25	0	105	11	16	35	45	9	0
TCGA-CN-A642	17	13	2	40	0	3	0	3	5
TCGA-CN-A6UY	3	0	2	3	29	0	3	6	0
TCGA-CN-A6V1	53	23	0	0	26	0	0	2	4
TCGA-CN-A6V3	16	13	116	28	0	39	19	0	34
TCGA-CN-A6V6	18	0	0	23	17	0	24	0	0
TCGA-CN-A6V7	14	7	0	24	0	0	10	3	0
TCGA-CQ-5323	6	0	4	19	15	4	2	0	3
TCGA-CQ-5324	10	3	0	22	23	0	2	12	0
TCGA-CQ-5325	4	1	0	0	0	19	0	12	9
TCGA-CQ-5326	62	100	8	26	19	0	0	15	20
TCGA-CQ-5327	103	78	0	34	39	0	0	4	0
TCGA-CQ-5329	1	0	0	8	11	8	0	3	0
TCGA-CQ-5330	7	0	2	23	0	0	0	17	13
TCGA-CQ-5331	47	68	6	6	23	5	0	1	0
TCGA-CQ-5332	17	8	8	38	0	31	23	26	4
TCGA-CQ-5333	66	48	15	43	0	18	26	0	5
TCGA-CQ-5334	31	54	1	42	6	45	0	3	5
TCGA-CQ-6218	31	30	13	35	0	14	1	2	24
TCGA-CQ-6219	6	12	0	13	0	0	5	5	14
TCGA-CQ-6220	13	33	8	25	18	0	0	11	10
TCGA-CQ-6221	17	47	0	7	0	0	43	0	7
TCGA-CQ-6222	2	0	5	12	25	1	0	0	1
TCGA-CQ-6223	0	0	13	10	60	0	0	13	0
TCGA-CQ-6224	4	0	0	15	39	0	0	0	0
TCGA-CQ-6225	5	19	13	21	8	38	8	2	32
TCGA-CQ-6227	2	7	2	19	0	0	11	6	0
TCGA-CQ-6228	1	3	6	0	56	5	0	22	13
TCGA-CQ-6229	1	0	4	9	15	0	0	0	0
TCGA-CQ-7063	19	39	0	0	84	0	0	0	0
TCGA-CQ-7065	4	0	0	2	24	0	0	3	0
TCGA-CQ-7068	24	18	5	22	25	0	1	22	0
TCGA-CQ-7069	19	57	0	3	0	14	0	10	0
TCGA-CQ-7071	167	254	24	0	83	0	0	0	0
TCGA-CQ-7072	5	2	18	2	11	24	0	38	24
TCGA-CQ-A4C6	21	33	0	17	0	33	0	18	4
TCGA-CQ-A4C7	11	0	1	8	0	9	0	8	10
TCGA-CQ-A4C9	10	5	3	9	54	0	5	0	5
TCGA-CQ-A4CB	11	7	0	0	52	0	0	14	9
TCGA-CQ-A4CD	20	76	13	25	26	0	0	0	6
