Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-4P-AA8J	9.59E-01	9.69E-01	6.02E-01	6.44E-01	9.64E-01	9.13E-01	8.83E-01	8.37E-01	1.12E+00
TCGA-BA-4074	6.54E-01	5.61E-01	4.58E-01	1.44E+00	1.57E+00	1.12E+00	1.03E+00	1.00E+00	1.26E+00
TCGA-BA-4075	5.64E-01	4.61E-01	3.85E-01	6.93E-01	1.20E+00	1.14E+00	1.30E+00	7.58E-01	1.15E+00
TCGA-BA-4076	1.26E+00	8.61E-01	3.22E+00	4.35E-01	1.93E+00	2.32E+00	3.34E+00	1.89E+00	1.18E+00
TCGA-BA-4077	3.54E+00	3.91E+00	6.08E-01	6.29E-01	2.27E+00	1.34E+00	1.36E+00	1.20E+00	8.45E-01
TCGA-BA-4078	1.51E+00	9.75E-01	3.73E+00	9.97E-01	2.52E+00	3.49E+00	3.92E+00	3.09E+00	1.65E+00
TCGA-BA-5149	3.96E-01	7.56E-01	6.94E-01	8.00E-01	1.02E+00	9.06E-01	1.00E+00	8.43E-01	8.72E-01
TCGA-BA-5151	5.47E-01	4.01E-01	5.06E-01	1.02E+00	1.06E+00	7.84E-01	7.49E-01	9.07E-01	4.10E-01
TCGA-BA-5152	8.18E+00	8.56E+00	5.87E-01	1.17E+00	3.73E+00	1.52E+00	1.55E+00	7.85E-01	1.65E-01
TCGA-BA-5153	3.35E-01	1.09E-01	3.11E-01	5.75E-01	5.21E-01	5.28E-01	3.88E-01	4.99E-01	6.05E-01
TCGA-BA-5555	3.43E-01	4.64E-01	1.11E+00	8.56E-01	1.26E+00	1.15E+00	1.24E+00	1.12E+00	1.18E+00
TCGA-BA-5556	5.70E-01	5.03E-01	7.59E-01	1.06E+00	1.40E+00	1.18E+00	1.06E+00	1.27E+00	1.14E+00
TCGA-BA-5557	3.08E-01	2.25E-01	2.73E-01	5.03E-01	4.53E-01	3.53E-01	2.58E-01	3.51E-01	2.63E-01
TCGA-BA-5558	2.07E+00	2.10E+00	3.62E-01	1.20E+00	1.15E+00	7.82E-01	6.56E-01	7.32E-01	8.56E-02
TCGA-BA-5559	4.69E-01	3.69E-01	4.37E-01	8.11E-01	8.78E-01	6.74E-01	7.08E-01	6.54E-01	5.23E-01
TCGA-BA-6868	1.06E+00	1.13E+00	7.59E-01	5.91E-01	1.35E+00	1.21E+00	1.41E+00	1.02E+00	1.37E+00
TCGA-BA-6869	1.41E+00	1.22E+00	4.18E+00	1.20E+00	2.27E+00	3.03E+00	4.14E+00	2.12E+00	1.75E+00
