Samples	SBS1	SBS2	SBS4	SBS5	SBS7b	SBS13	SBS19
TCGA-4P-AA8J	0	16	0	101	0	27	0
TCGA-BA-4074	12	0	0	110	0	0	32
TCGA-BA-4075	6	0	0	116	0	0	0
TCGA-BA-4076	0	0	217	184	0	0	0
TCGA-BA-4077	0	99	0	126	0	99	0
TCGA-BA-4078	0	0	256	302	0	0	0
TCGA-BA-5149	5	0	0	102	0	22	0
TCGA-BA-5151	9	0	0	69	16	0	0
TCGA-BA-5152	7	215	0	146	0	203	0
TCGA-BA-5153	4	0	0	38	0	0	0
TCGA-BA-5555	0	0	37	118	0	0	0
TCGA-BA-5556	14	0	0	124	0	0	0
TCGA-BA-5557	5	4	0	9	0	5	7
TCGA-BA-5558	7	69	0	73	0	34	0
TCGA-BA-5559	7	6	0	31	0	0	24
TCGA-BA-6868	0	23	0	125	0	23	0
TCGA-BA-6869	0	0	262	295	0	0	0
TCGA-BA-6870	0	13	0	73	0	0	0
TCGA-BA-6871	0	18	0	104	0	34	0
TCGA-BA-6872	10	15	0	124	0	22	0
TCGA-BA-6873	15	0	0	35	0	0	18
TCGA-BA-7269	6	0	0	90	0	0	0
TCGA-BA-A4IF	14	9	21	23	0	12	21
TCGA-BA-A4IG	0	22	0	92	0	17	0
TCGA-BA-A4IH	3	0	0	45	0	0	0
TCGA-BA-A4II	3	0	0	98	0	0	0
TCGA-BA-A6D8	7	0	0	126	0	0	0
TCGA-BA-A6DA	9	0	413	385	0	0	0
TCGA-BA-A6DB	2	0	0	9	0	0	0
TCGA-BA-A6DD	8	0	0	43	0	0	0
TCGA-BA-A6DE	5	18	0	99	0	17	0
TCGA-BA-A6DG	2	0	0	12	7	0	0
TCGA-BA-A6DI	0	0	0	108	0	0	0
TCGA-BA-A6DJ	21	42	0	125	0	51	45
TCGA-BA-A6DL	3	0	0	89	0	0	0
TCGA-BA-A8YP	3	18	0	144	0	16	0
TCGA-BB-4217	0	0	0	19	0	0	0
TCGA-BB-4223	5	20	0	36	0	27	0
TCGA-BB-4224	19	23	0	0	0	26	25
TCGA-BB-4225	13	15	0	22	0	0	23
TCGA-BB-4227	5	75	0	88	0	128	0
TCGA-BB-4228	11	5	0	13	0	7	11
TCGA-BB-7870	12	0	134	179	0	0	0
TCGA-BB-8596	0	0	0	75	0	18	0
TCGA-BB-8601	0	0	0	72	0	0	0
TCGA-BB-A5HU	3	71	0	77	0	62	0
TCGA-BB-A5HY	0	36	0	166	0	37	0
TCGA-BB-A5HZ	5	0	0	75	0	0	0
TCGA-BB-A6UM	15	0	0	43	0	0	23
TCGA-BB-A6UO	0	0	0	118	0	0	0
TCGA-C9-A47Z	19	0	0	102	0	0	0
TCGA-C9-A480	7	0	0	53	0	0	0
TCGA-CN-4725	13	0	0	22	12	0	12
TCGA-CN-4726	7	0	0	76	0	0	0
TCGA-CN-4727	10	0	202	274	0	0	0
TCGA-CN-4728	0	12	0	60	0	11	0
TCGA-CN-4729	5	13	0	112	0	16	0
TCGA-CN-4730	5	26	0	120	0	40	0
TCGA-CN-4731	12	14	0	93	0	12	0
TCGA-CN-4733	3	0	0	9	0	0	0
TCGA-CN-4734	19	27	0	50	0	40	43
