query,_id,_score,genomic_pos,notfound,length
PIP4K2A,5305,18.278242,"{'chr': '10', 'end': 22714578, 'ensemblgene': 'ENSG00000150867', 'start': 22534854, 'strand': -1}",,179724.0
NRP1,8829,18.117056,"{'chr': '10', 'end': 33336262, 'ensemblgene': 'ENSG00000099250', 'start': 33177492, 'strand': -1}",,158770.0
PFKFB3,5209,17.63083,"{'chr': '10', 'end': 6254644, 'ensemblgene': 'ENSG00000170525', 'start': 6144934, 'strand': 1}",,109710.0
VCL,7414,18.117056,"{'chr': '10', 'end': 74121363, 'ensemblgene': 'ENSG00000035403', 'start': 73995193, 'strand': 1}",,126170.0
MUC2,4583,18.525637,"[{'chr': '11', 'end': 1110511, 'ensemblgene': 'ENSG00000198788', 'start': 1074875, 'strand': 1}, {'chr': 'HSCHR11_3_CTG1', 'end': 178809, 'ensemblgene': 'ENSG00000278466', 'start': 149268, 'strand': 1}, {'chr': 'HG107_HG2565_PATCH', 'end': 108092, 'ensemblgene': 'ENSG00000293532', 'start': 71614, 'strand': 1}]",,
RRAS2,22800,17.61159,"{'chr': '11', 'end': 14364506, 'ensemblgene': 'ENSG00000133818', 'start': 14277922, 'strand': -1}",,86584.0
NELL1,4745,18.120003,"{'chr': '11', 'end': 21575686, 'ensemblgene': 'ENSG00000165973', 'start': 20669551, 'strand': 1}",,906135.0
OR4C15,81309,24.340258,"{'chr': '11', 'end': 55555419, 'ensemblgene': 'ENSG00000181939', 'start': 55554307, 'strand': 1}",,1112.0
KAT5,10524,18.487783,"{'chr': '11', 'end': 65719604, 'ensemblgene': 'ENSG00000172977', 'start': 65711996, 'strand': 1}",,7608.0
RPS3,6188,12.607436,"{'chr': '11', 'end': 75422280, 'ensemblgene': 'ENSG00000149273', 'start': 75399515, 'strand': 1}",,22765.0
NLRP10,338322,19.452114,"[{'chr': '11', 'end': 7965447, 'ensemblgene': 'ENSG00000182261', 'start': 7957537, 'strand': -1}, {'chr': 'HSCHR11_1_CTG5', 'end': 196927, 'ensemblgene': 'ENSG00000276780', 'start': 190925, 'strand': -1}, {'chr': 'HSCHR11_1_CTG1_2', 'end': 196420, 'ensemblgene': 'ENSG00000281166', 'start': 188531, 'strand': -1}]",,
WEE1,7465,17.247759,"{'chr': '11', 'end': 9593457, 'ensemblgene': 'ENSG00000166483', 'start': 9573670, 'strand': 1}",,19787.0
ACTR6,64431,17.613714,"{'chr': '12', 'end': 100241865, 'ensemblgene': 'ENSG00000075089', 'start': 100199122, 'strand': 1}",,42743.0
APPL2,55198,17.580042,"{'chr': '12', 'end': 105236203, 'ensemblgene': 'ENSG00000136044', 'start': 105173297, 'strand': -1}",,62906.0
SLC8B1,80024,17.648138,"{'chr': '12', 'end': 113359493, 'ensemblgene': 'ENSG00000089060', 'start': 113298759, 'strand': -1}",,60734.0
ANAPC5,51433,17.596786,"{'chr': '12', 'end': 121399896, 'ensemblgene': 'ENSG00000089053', 'start': 121308245, 'strand': -1}",,91651.0
DNAH10,196385,17.648138,"[{'chr': '12', 'end': 123935720, 'ensemblgene': 'ENSG00000197653', 'start': 123762188, 'strand': 1}, {'chr': 'HSCHR12_6_CTG2_1', 'end': 109258, 'ensemblgene': 'ENSG00000281935', 'start': 179, 'strand': 1}]",,
GALNT9,50614,17.670046,"[{'chr': '12', 'end': 132329589, 'ensemblgene': 'ENSG00000182870', 'start': 132196372, 'strand': -1}, {'chr': 'HG2246_HG2248_HG2276_PATCH', 'end': 235949, 'ensemblgene': 'ENSG00000288490', 'start': 103401, 'strand': -1}]",,
PDE3A,5139,17.79881,"{'chr': '12', 'end': 20688583, 'ensemblgene': 'ENSG00000172572', 'start': 20368537, 'strand': 1}",,320046.0
RECQL,5965,17.643791,"{'chr': '12', 'end': 21501669, 'ensemblgene': 'ENSG00000004700', 'start': 21468910, 'strand': -1}",,32759.0
RARG,5916,18.404078,"{'chr': '12', 'end': 53232980, 'ensemblgene': 'ENSG00000172819', 'start': 53210567, 'strand': -1}",,22413.0
