gene,observed_dNdS,expected_dNdS,p_value
GRIA1,3.5,2.587029185242336,0.570294318763642
MRPL19,2.0,3.3294271400512816,0.4662560114148616
ARNTL,3.0,3.262593464023542,0.884411444775904
RTKN2,3.0,3.724203667999016,0.707459571529171
ORMDL3,4.0,1.9266836386391288,0.1352567563430772
KRTAP9-3,2.0,3.051725204040516,0.5471436156637881
SOCS3,1.0,2.003265356058046,0.4784254348364151
CYP4F12,1.0,2.2932903522912294,0.393095570106588
PRKCQ,7.0,2.8453121997489705,0.01377602594618427
HMGA2,4.0,3.464836983074011,0.7737260347397106
C4orf27,4.0,3.666387969100631,0.8616848489133775
PAG1,0.3333333333333333,2.764116332094918,0.14372215258055218
CCDC73,4.0,3.931475684417206,0.9724310308421344
ABHD16B,2.0,1.937505141888815,0.9641889522470559
MARK2,0.5,2.365292909622134,0.22518986410512062
SYNGR1,2.0,1.89530372978565,0.9393803523506759
ECSIT,2.0,2.274071673099611,0.8557829788782574
PCED1A,1.0,2.498377803375632,0.3431473040652374
AC100757.1,2.0,,
UGT1A3,0.0,2.5999006061473557,0.10687041715709769
TRAV8-7,3.0,,
PRX,2.5,1.9147393739869127,0.672327873117968
IGLJ5,2.0,,
EFCAB13,8.0,3.665942555088061,0.023598037895601005
GRWD1,0.5,2.334226459229773,0.22992451012578605
DEGS2,3.0,1.8715211408566037,0.4094340225663584
ARL8B,3.0,3.124128433320368,0.9440126346764591
JOSD1,1.0,2.720384105541746,0.296919374821229
UXT,1.0,2.251743861093116,0.4041836683763964
SLC16A10,4.0,2.6038617066743583,0.3869257773837498
AGAP2,3.0,2.2566353235470733,0.6207078936028414
GPRC5D,2.0,2.386950775271729,0.8022335905519602
TRIM22,1.0,2.7835321939793194,0.28506398671947014
VTA1,4.0,3.629209148098354,0.8456779736683927
REV3L,6.666666666666667,2.117341526923085,0.001769304508127483
TEK,3.0,2.892367241695159,0.9495375911096627
TTC7B,1.5,2.3763154721912403,0.5697150876315487
ESPNL,4.0,2.096666259238605,0.18868847962719382
PLCXD1,3.0,2.0028190338427607,0.4810486079032238
PTPN5,2.0,2.2714850564729927,0.8570489032151569
IGLV2-14,2.0,,
SIAH3,5.0,2.34174124612295,0.08236741803963343
