gene,observed_dNdS,expected_dNdS
GRIA1,3.5,2.587029185242336
MRPL19,2.0,3.3294271400512816
ARNTL,3.0,3.262593464023542
RTKN2,3.0,3.724203667999016
ORMDL3,4.0,1.9266836386391288
KRTAP9-3,2.0,3.051725204040516
SOCS3,1.0,2.003265356058046
CYP4F12,1.0,2.2932903522912294
PRKCQ,7.0,2.8453121997489705
HMGA2,4.0,3.464836983074011
C4orf27,4.0,3.6663879691006307
PAG1,0.3333333333333333,2.764116332094918
CCDC73,4.0,3.931475684417206
ABHD16B,2.0,1.937505141888815
MARK2,0.5,2.365292909622134
SYNGR1,2.0,1.89530372978565
ECSIT,2.0,2.274071673099611
PCED1A,1.0,2.498377803375632
AC100757.1,2.0,
UGT1A3,0.0,2.5999006061473553
TRAV8-7,3.0,
PRX,2.5,1.9147393739869132
IGLJ5,2.0,
EFCAB13,8.0,3.665942555088061
GRWD1,0.5,2.3342264592297726
DEGS2,3.0,1.8715211408566035
ARL8B,3.0,3.124128433320368
JOSD1,1.0,2.720384105541746
UXT,1.0,2.251743861093116
SLC16A10,4.0,2.6038617066743583
AGAP2,3.0,2.2566353235470733
GPRC5D,2.0,2.386950775271729
TRIM22,1.0,2.7835321939793194
VTA1,4.0,3.629209148098354
REV3L,6.666666666666667,2.117341526923085
TEK,3.0,2.892367241695159
TTC7B,1.5,2.3763154721912403
ESPNL,4.0,2.096666259238605
PLCXD1,3.0,2.0028190338427607
PTPN5,2.0,2.2714850564729927
IGLV2-14,2.0,
SIAH3,5.0,2.34174124612295
CD48,2.0,2.4541636967500815
DDX20,2.0,2.1740811002451075
CCNG1,2.0,3.4318120462170483
ZNF681,4.0,3.7378918209668597
TMEM167A,2.0,2.9362747965702383
MYOZ2,2.0,3.523163878288873
CMTM1,3.0,3.2333710700875025
PLBD2,2.0,2.06381837861771
RNPEPL1,2.0,2.0273607205066146
EAF1,1.0,3.20984785255167
BRDT,6.0,3.9079925014386756
TOMM40L,1.0,2.4819665711742878
ENTPD6,0.0,2.2955706362104444
CLN8,2.0,2.4558293124067987
GLI1,1.25,2.7542980824475087
OR2T5,2.0,2.2784668981733596
DGAT1,1.0,2.129019030391206
C17orf58,0.0,2.4945063444356546
HEATR4,7.0,2.7089122752411607
LILRB3,1.0,2.367901766826147
PPP1R10,1.5,3.036506994111064
SSTR1,3.0,1.9695637335004577
HNMT,5.0,3.3780982342625485
PCGF1,3.0,2.497593839107992
PCSK5,1.5,2.9596423101576415
MYOCD,3.0,2.7665264565125933
BOLL,3.0,3.851896341364821
CRYBB1,1.0,2.455898563765122
GNAT3,1.0,3.455574306440424
FAM222A,2.0,2.08314485102246
FAM21C,4.0,3.1476490111416253
CRP,5.0,2.5225200343361567
PAK6,4.0,2.206635835492485
